schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.261999278998701,nan,PREP,system_start|vision_start,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0019892803717344587,-0.014116237648338567,0.10181008085638443,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313337974296986,0.030780840604519754,0.48171950361645155,-2.0377230575427414,0.15878105546235155,0.1784642383865317,-0.31245329544139955,-1.4534721445249525,0.09278943299770903,2.051676428484268,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.4150892230170966,0.0,0.0,0.28298017771701983,-0.4150892230170966,0.0,0.28298017771701983,0.5023712213549788,3.0,0,1.0,0.0,0,200.0,0.005,1.7230049706995487e-06,0.09698886999103706,0.09198886999103706,1,nan,nan,nan
3,8.359304650002741,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0019402549440495354,-0.007996982292895896,0.10417783686387455,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134743739242545,0.03079319473244005,0.4816886684700416,-1.7280539126348027,0.21499266846879167,0.00557221672157536,-0.33993701481583727,-1.2016535906629104,0.09694421635700184,1.7413854317947461,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.29122156505392105,0.0,0.0,0.28298017771701983,-0.29122156505392105,0.0,0.28298017771701983,0.40606376461488325,3.0,0,1.0,0.0,0,200.0,0.005,0.09730537100404035,0.0009679369977675378,0.0,0,nan,nan,nan
3,8.370543053999427,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0020833635614067036,-0.007098493846327123,0.10455368359827036,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313483452886893,0.030790898103406957,0.48168976337620123,-1.5042185628866984,0.2514312519256418,-0.1167135780829675,-0.357436317071255,-1.0203265690437822,0.09855238781740273,1.529546736352554,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.2016874251546794,0.0,0.0,0.28298017771701983,-0.2016874251546794,0.0,0.28298017771701983,0.34749906251136925,3.0,0,1.0,0.0,0,200.0,0.005,0.01123840399668552,0.06225010199705139,0.05725010199705139,1,nan,nan,nan
3,8.432901634994778,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0032479791139372605,-0.003606531414671846,0.10625119183005859,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313492318905874,0.03078758500034492,0.48168502272213587,-1.3309154762881308,0.2851140022994163,-0.18713418128837342,-0.3748321783180291,-0.8862941767117736,0.10067602760213133,1.3739160094914549,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.13236619051525234,0.0,0.0,0.28298017771701983,-0.13236619051525234,0.0,0.28298017771701983,0.3124077293734523,3.0,0,1.0,0.0,0,200.0,0.005,0.062358580995351076,0.10620757000287995,0.10120757000287994,1,nan,nan,nan
3,8.539152705998276,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0044909016438777205,-0.0026741284441347663,0.10714106063751472,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.331347946834103,0.030789483201180877,0.4816867435509747,-1.2119448569276168,0.309380004283965,-0.23568784679987786,-0.3874189165610445,-0.7942950748529852,0.10248984184680433,1.2728217017372114,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.08477794277104672,0.0,0.0,0.28298017771701983,-0.08477794277104672,0.0,0.28298017771701983,0.29540663594653216,3.0,0,1.0,0.0,0,200.0,0.005,0.10625107100349851,0.03639521099103149,0.03139521099103149,1,nan,nan,nan
3,8.575637036992703,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.004260392185455764,-0.002842740831180964,0.1069782110065278,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134802268069746,0.03079001566700884,0.4816863400976611,-1.1196937722082423,0.3194700546865985,-0.2695375054863096,-0.3914635861584572,-0.7235331681713587,0.1022637127756258,1.195167656116565,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.04787750888329689,0.0,0.0,0.28298017771701983,-0.04787750888329689,0.0,0.28298017771701983,0.2870018063316437,3.0,0,1.0,0.0,0,200.0,0.005,0.03648433099442627,0.002923243009718135,0.0,0,nan,nan,nan
3,8.580744830993353,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.004205723611062084,-0.0028612402935067256,0.10694571887612564,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.331347904263074,0.030791976404051225,0.4816855358240008,-1.0592491501518801,0.32948125297879616,-0.29035072500713194,-0.3962992055829395,-0.6776675111466968,0.10307628268510957,1.1466778979618142,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.02369966006075208,0.0,0.0,0.28298017771701983,-0.02369966006075208,0.0,0.28298017771701983,0.2839708697520774,3.0,0,1.0,0.0,0,200.0,0.005,0.005107794000650756,0.0008411540038650855,0.0,0,nan,nan,nan
3,8.585848410992185,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0041441750173847325,-0.0028796816485462968,0.10690979108935494,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313472961066936,0.030789538204464784,0.48168685020872337,-1.0135530767505938,0.33381555887225556,-0.30689171947634813,-0.39793436490849127,-0.6427057866429838,0.10279998164331523,1.1103626408606069,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.005421230700237534,0.0,0.0,0.28298017771701983,-0.005421230700237534,0.0,0.28298017771701983,0.2830321019302604,3.0,0,1.0,0.0,0,200.0,0.005,0.005103579998831265,0.0008072860073298216,0.0,0,nan,nan,nan
3,8.590936959997634,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.004082633255101137,-0.002898114610613468,0.10687382630270298,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313471296387209,0.030791642181661652,0.4816868933777106,-0.9764310665951887,0.3393318067189313,-0.3174985900277879,-0.40069143406120244,-0.6150577549111764,0.10325362884224865,1.0813736900502922,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0050885490054497495,0.000910928996745497,0.0,0,nan,nan,nan
3,8.59604504199524,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.004027983945804142,-0.002916590350483599,0.10684123891241913,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134726345712606,0.030791602349416053,0.48168672478595304,-0.9512524201571622,0.3401531179349859,-0.32395524183114044,-0.4005655511056531,-0.596495278330482,0.10253614231717335,1.0609110750697361,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005108081997605041,0.0008204400073736906,0.0,0,nan,nan,nan
3,8.601110335992416,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003973562476700804,-0.0029444963572289908,0.10680597737407242,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313477411571249,0.030790704812983603,0.48168419628277104,-0.9346671177587733,0.3435125476981171,-0.32864858223644394,-0.40231673982105987,-0.5841953976630703,0.10277438384696141,1.0486245190970735,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005065293997176923,0.0007481890061171725,0.0,0,nan,nan,nan
3,8.606269480995252,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.00392581257846869,-0.002963006408348733,0.10677675205893294,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134814914198885,0.030791333403669102,0.4816871577434582,-0.920392491445724,0.34444882137212635,-0.3314665062150598,-0.402598632881493,-0.5740013872716792,0.10220713238025166,1.0371293909617703,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.00515914500283543,0.0005727999960072339,0.0,0,nan,nan,nan
3,8.611439336993499,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003884953047185946,-0.0029815618912583915,0.10675092789944277,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134843498452893,0.030790243417451686,0.48168726761498043,-0.9117408079956203,0.34530861935320906,-0.33277094271710084,-0.4029933216188921,-0.5681329719649307,0.10170929052451944,1.0301678716990519,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0051698559982469305,0.0008671950054122135,0.0,0,nan,nan,nan
3,8.616543209995143,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003837441988046114,-0.0030094891798632933,0.10671901439205597,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313478082938544,0.030790619021027227,0.4816854827806371,-0.9058331910724867,0.34722575150521606,-0.337113788599058,-0.40433600931014513,-0.5632702492247506,0.10156580417595171,1.0270078865425214,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005103873001644388,0.0008210789965232834,0.0,0,nan,nan,nan
3,8.621704306002357,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003790171848534696,-0.0030468318378459552,0.10668443040939933,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134718925509876,0.030790140454783926,0.48168534824547343,-0.9000749632289857,0.348707036972679,-0.33759993057192716,-0.4052898021502591,-0.559655835572642,0.10139823930417802,1.0225973059753755,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005161096007213928,0.000881713000126183,0.0,0,nan,nan,nan
3,8.626870362990303,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003749333680869188,-0.0030653616488937182,0.1066585493886438,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313480302468184,0.030788956401340786,0.4816876542965127,-0.893868931081162,0.3500343182847674,-0.3382543399565504,-0.40614510573591067,-0.5555703974069922,0.10122359685002513,1.0178122068577793,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005166056987945922,0.0007751500088488683,0.0,0,nan,nan,nan
3,8.631936314995983,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0037089713935317126,-0.003102729889128692,0.10662735550538294,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313473761543204,0.030790976539145812,0.4816889229974542,-0.8888159754438458,0.35268383867142133,-0.3425253157794159,-0.4079463436339602,-0.5509812538588239,0.10179076864789524,1.015727975500327,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005065952005679719,0.0009081189928110689,0.0,0,nan,nan,nan
3,8.636998258996755,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.003661741256147294,-0.003140026066390845,0.1065927044390574,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313471628932691,0.030790909225482777,0.48168485048920384,-0.8869387175054859,0.35391424380191,-0.3431230594051539,-0.40868016729912704,-0.5494309473085609,0.10222252179930916,1.0147162236170795,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0050619440007722005,0.0008628149953437969,0.0,0,nan,nan,nan
3,8.642063589999452,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.0035938802539605685,-0.0031771365247959624,0.10654770267351953,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.33134835333699375,0.030792589296059908,0.4816866177874387,-0.8900424674401469,0.35440079955143694,-0.34085898685137606,-0.40876958341654607,-0.5520000244555425,0.10264190075329899,1.0168384185734671,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985986024141312,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005065331002697349,0.02517513500060886,0.02017513500060886,1,nan,nan,nan
3,8.667345857989858,nan,PREP,,I_H,I_H,9975bf90-9c53-484e-81e9-0cbe82f310d9,formal,P01_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P01,mouse,P01_T28,28,1,1,1,0,-0.00339168049819491,-0.0033353429642955157,0.10639914791247918,1,-28.298017771701986,0,0.3313337974296986,0.030780840604519754,0.48171950361645155,0.3313481859317149,0.030791672773845435,0.4816871151349929,-0.8889165694436769,0.35414367845454403,-0.3417929454478597,-0.4088879588053564,-0.5507388199437558,0.10240286488068967,1.0160771771763966,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985789328813553,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.02528226799040567,0.0007847939996281639,0.0,0,nan,nan,nan
