schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.24806918099057,nan,PREP,system_start|vision_start,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.000609638355612091,-0.004712268927793212,0.10354465381913805,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.33150979040164313,0.02991678974690779,0.4821804357909161,-0.8387124542482651,0.11570151855435958,0.04196225715020033,-0.29449319181499245,-0.5913785344657563,0.05465461040676904,0.8476946698735769,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,2.878994564525783e-06,0.05569551199732814,0.05069551199732814,1,nan,nan,nan
3,8.304039405993535,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,0.00044752391188865315,-0.0021714770087563435,0.10476237620110443,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.33150957905257067,0.0299158735674265,0.48218124417236014,-0.84454555806331,0.12334782109781986,-0.04797873628409062,-0.30017902523489715,-0.5764966480128378,0.0562643509076825,0.85485311238216,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.05597022500296589,0.011250947994994931,0.006250947994994931,1,nan,nan,nan
3,8.315366787996027,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,0.00040329385446744026,-0.00155966493897973,0.10488884836292056,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.3315092516369423,0.02991478329448781,0.4821835197142916,-0.8343624224866476,0.13017729996635596,-0.12564341543088942,-0.3051345721398974,-0.5530957910254795,0.05695654877853777,0.853752334887265,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.011327382002491504,0.005813551993924193,0.000813551993924193,1,nan,nan,nan
3,8.32122892299958,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,0.0004038805830788861,-0.0011927943959291277,0.10502936499437743,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.3315095179918093,0.029916235458271306,0.4821819746487677,-0.8259249775511305,0.13527218825828713,-0.18082719819302778,-0.3088004091364466,-0.5356474975921957,0.057487262216839335,0.8562412680228403,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005862135003553703,0.0004883579968009144,0.0,0,nan,nan,nan
3,8.341322755994042,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-1.249163505018247e-05,-0.0002945183053076259,0.10547204883493942,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.33151012685970144,0.029915373788021483,0.4821804809926721,-0.7943251266621992,0.14231033716228417,-0.21924155595156578,-0.3111332497910095,-0.5094745048646354,0.0571357894553957,0.8362245504445713,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.02009383299446199,0.1169133149960544,0.11191331499605439,1,nan,nan,nan
3,8.458280855993507,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.00053445222926915,-0.0008646436925472034,0.10561879897389434,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.33150970992587814,0.029916915926509226,0.48218029784932437,-0.7732933041859515,0.14735930194831956,-0.24546326846869915,-0.31284205779171564,-0.4920996787229353,0.05693820715451474,0.8245905131256722,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.11695809999946505,0.020788859997992404,0.015788859997992403,1,nan,nan,nan
3,8.479332639995846,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.0002975453460304922,-0.0006176011267483034,0.10555612019413119,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.33151055299402077,0.029914841885738855,0.48218068650101686,-0.7538417194335195,0.1530134034558716,-0.26419325371322383,-0.3154816273233643,-0.4764384041931228,0.05683201101837817,0.8133194421032945,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.021051784002338536,0.0010874169965973124,0.0,0,nan,nan,nan
3,8.484426244991482,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.00024183813444123015,-0.0005605960314815704,0.10554216628292473,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.331510187966951,0.029914442853056562,0.48218114396498835,-0.7412563792463929,0.1591580945844982,-0.2755639769539599,-0.31873145148586535,-0.46666618942825333,0.05741980421786866,0.8066770259775116,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.0050936049956362695,0.0012634419981623068,0.0,0,nan,nan,nan
3,8.489510285988217,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.0002069094413855166,-0.0005131082321532887,0.1055366283986815,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.3315096761464096,0.029914611008947118,0.4821795241502098,-0.7339932727270233,0.16371569266838015,-0.283680376038694,-0.3211362074604167,-0.4607892118361455,0.05795180412584081,0.8037558759871487,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005084040996734984,0.0007210050098365173,0.0,0,nan,nan,nan
3,8.494595169991953,nan,PREP,,I_H_G,I_H_G,5717122e-64e2-45d8-81cd-0ba39bcced40,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,scissors,P05_T13,13,2,1,1,1,-0.00018605422725803678,-0.0004941019587357649,0.10553073363331808,1,-28.29186602870814,0,0.33149448708216545,0.029907336108159023,0.48221025085822977,0.3315106432932729,0.029914768586168348,0.4821800502085401,-0.7273928549905562,0.1683168180345427,-0.2883861972029985,-0.3237855046743622,-0.45588648516198294,0.058794910623832866,0.8003733600400456,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005084884003736079,0.0008622419991297647,0.0,0,nan,nan,nan
