timestamp,cycle,object,label,F_ext_x,F_ext_y,F_ext_z,F_fb_x,F_fb_y,F_fb_z,grip
1780448911.4540744,1,N/A,unknown,-1.38,0.91,1.44,0.0,0.0,0.0,0.03
1780448911.454104,4,N/A,unknown,-1.02,0.85,1.22,0.0,0.0,0.0,0.04
1780448911.4541185,6,N/A,unknown,-0.86,0.84,1.26,0.0,0.0,0.0,0.04
1780448911.454134,9,N/A,unknown,-0.78,0.83,1.33,0.0,0.0,0.0,0.06
1780448911.4541483,11,N/A,unknown,-0.74,0.81,1.3,0.0,0.0,0.0,0.06
1780448911.4541626,14,N/A,unknown,-0.69,0.8,1.3,0.0,0.0,0.0,0.06
1780448911.4541767,16,N/A,unknown,-0.64,0.8,1.33,0.0,0.0,0.0,0.07
1780448911.4541907,19,N/A,unknown,-0.65,0.8,1.32,0.0,0.0,0.0,0.06
1780448911.454205,21,N/A,unknown,-0.65,0.8,1.3,0.0,0.0,0.0,0.06
1780448911.4542193,24,N/A,unknown,-0.67,0.8,1.26,0.0,0.0,0.0,0.06
1780448911.454233,26,N/A,unknown,-0.73,0.81,1.22,0.0,0.0,0.0,0.05
1780448911.4542472,29,N/A,unknown,-0.75,0.81,1.2,0.0,0.0,0.0,0.06
1780448911.4542608,31,N/A,unknown,-0.7,0.81,1.24,0.0,0.0,0.0,0.06
1780448911.4542754,34,N/A,unknown,-0.62,0.8,1.3,0.0,0.0,0.0,0.06
1780448911.4542887,36,N/A,unknown,-0.61,0.8,1.35,0.0,0.0,0.0,0.07
1780448911.454303,39,N/A,unknown,-0.56,0.8,1.43,0.0,0.0,0.0,0.07
1780448911.454317,41,N/A,unknown,-0.39,0.8,1.56,0.0,0.0,0.0,0.08
1780448911.454331,44,N/A,unknown,-0.11,0.81,1.71,0.0,0.0,0.0,0.09
1780448911.454346,46,N/A,unknown,-0.14,0.79,1.96,0.0,0.0,0.0,0.07
1780448911.45436,49,N/A,unknown,0.27,0.77,2.09,0.0,0.0,0.0,0.06
1780448911.4543738,51,N/A,unknown,0.43,0.78,2.05,0.0,0.0,0.0,0.06
1780448911.4543874,54,N/A,unknown,0.71,0.77,2.01,0.0,0.0,0.0,0.07
1780448911.4544015,56,N/A,unknown,0.87,0.8,1.99,0.0,0.0,0.0,0.08
1780448911.4544148,59,N/A,unknown,0.95,0.83,1.72,0.0,0.0,0.0,0.07
1780448911.4544291,61,N/A,unknown,0.48,0.85,1.58,0.0,0.0,0.0,0.07
1780448911.4544435,64,N/A,unknown,-0.27,0.91,1.12,0.0,0.0,0.0,0.05
1780448911.4544587,66,N/A,unknown,-0.42,0.95,0.77,0.0,0.0,0.0,0.05
1780448911.4544735,69,N/A,unknown,-0.66,0.94,0.66,0.0,0.0,0.0,0.05
1780448911.4544885,71,N/A,unknown,-0.47,0.95,0.22,0.0,0.0,0.0,0.05
1780448911.454503,74,N/A,unknown,-0.45,0.89,-0.07,0.0,0.0,0.0,0.06
1780448911.4545174,77,N/A,unknown,-0.41,0.83,-0.35,0.0,0.0,0.0,0.1
1780448911.454531,79,N/A,unknown,-0.31,0.88,-0.62,0.0,0.0,0.0,0.12
1780448911.4545462,82,N/A,unknown,-0.59,0.83,-0.63,0.0,0.0,0.0,0.13
1780448911.454561,85,N/A,unknown,-0.42,0.8,-0.37,0.0,0.0,0.0,0.13
1780448911.4545758,87,N/A,unknown,-0.29,0.75,-0.38,0.0,0.0,0.0,0.14
1780448911.4545925,90,N/A,unknown,-0.29,0.49,-0.46,0.0,0.0,0.0,0.14
1780448911.4546216,92,N/A,unknown,-0.33,0.31,-0.4,0.0,0.0,0.0,0.15
1780448911.454633,95,N/A,unknown,-0.33,0.23,-0.65,0.0,0.0,0.0,0.15
1780448911.454641,98,N/A,unknown,-0.88,0.34,-0.76,0.0,0.0,0.0,0.15
1780448911.4546494,100,N/A,unknown,-0.9,0.42,-0.72,0.0,0.0,0.0,0.15
1780448911.4546576,103,N/A,unknown,-0.98,0.51,-0.64,0.0,0.0,0.0,0.15
1780448911.4546652,105,N/A,unknown,-1.04,0.69,-0.71,0.0,0.0,0.0,0.14
1780448911.4546728,108,N/A,unknown,-1.43,0.84,-0.67,0.0,0.0,0.0,0.14
1780448911.454681,111,N/A,unknown,-1.36,0.8,-0.6,0.0,0.0,0.0,0.12
1780448911.4546888,114,N/A,unknown,-1.33,0.86,0.03,0.0,0.0,0.0,0.11
1780448911.4546964,115,N/A,unknown,-1.44,0.85,0.46,0.0,0.0,0.0,0.1
1780448919.971375,117,N/A,unknown,-1.63,0.89,1.07,0.0,0.0,0.0,0.09
1780448919.9713948,119,N/A,unknown,-1.83,1.0,1.3,0.0,0.0,0.0,0.08
1780448919.97141,122,N/A,unknown,-2.1,1.15,1.19,0.0,0.0,0.0,0.08
1780448919.9714277,128,N/A,unknown,-2.27,1.24,1.03,0.0,0.0,0.0,0.08
1780448919.971442,130,N/A,unknown,-2.21,1.29,0.99,0.0,0.0,0.0,0.08
1780448919.9714577,133,N/A,unknown,-2.16,1.36,0.75,0.0,0.0,0.0,0.08
1780448919.971472,135,N/A,unknown,-2.13,1.28,0.56,0.0,0.0,0.0,0.08
1780448919.971486,138,N/A,unknown,-2.09,1.21,0.43,0.0,0.0,0.0,0.08
1780448919.9715006,141,N/A,unknown,-2.2,1.15,1.01,0.0,0.0,0.0,0.08
1780448919.9715147,144,N/A,unknown,-2.28,1.26,2.51,0.0,0.0,0.0,0.08
1780448919.9715316,146,N/A,unknown,-1.95,1.24,3.37,0.0,0.0,0.0,0.08
1780448919.9715405,149,N/A,unknown,-1.61,1.36,4.17,0.0,0.0,0.0,0.09
1780448919.9715576,151,N/A,unknown,-1.46,1.3,4.33,0.0,0.0,0.0,0.09
1780448919.971572,154,N/A,unknown,-1.23,1.27,4.42,0.0,0.0,0.0,0.09
1780448919.9715862,156,N/A,unknown,-1.06,1.22,4.3,0.0,0.0,0.0,0.07
1780448919.9716046,159,N/A,unknown,-1.34,1.12,4.32,0.0,0.0,0.0,0.05
1780448919.9716203,161,N/A,unknown,-1.6,1.05,4.18,0.0,0.0,0.0,0.06
1780448919.9716275,164,N/A,unknown,-1.59,0.94,4.3,0.0,0.0,0.0,0.06
1780448919.9716365,166,N/A,unknown,-1.34,0.89,4.25,0.0,0.0,0.0,0.06
1780448919.971644,168,N/A,unknown,-1.18,0.86,4.28,0.0,0.0,0.0,0.05
1780448919.971651,171,N/A,unknown,-1.11,0.62,3.76,0.0,0.0,0.0,0.06
1780448919.9716597,174,N/A,unknown,-0.8,-0.18,3.05,0.0,0.0,0.0,0.14
1780448919.971667,177,N/A,unknown,-1.4,-0.7,2.68,0.0,0.0,0.0,0.22
1780448919.9716814,179,N/A,unknown,-1.12,-0.87,2.41,0.0,0.0,0.0,0.25
1780448919.9716966,181,N/A,unknown,-0.95,-1.03,2.24,0.0,0.0,0.0,0.26
1780448919.9717114,183,N/A,unknown,-0.68,-1.02,2.16,0.0,0.0,0.0,0.27
1780448919.9717271,185,N/A,unknown,-0.81,-0.8,2.18,0.0,0.0,0.0,0.24
1780448919.971742,186,N/A,unknown,-0.65,-0.7,2.12,0.0,0.0,0.0,0.23
1780448919.971756,189,N/A,unknown,-0.75,-0.61,2.0,0.0,0.0,0.0,0.21
1780448919.97177,192,N/A,unknown,-0.83,-0.4,1.76,0.0,0.0,0.0,0.18
1780448919.9717855,195,N/A,unknown,-0.88,-0.35,1.42,0.0,0.0,0.0,0.18
1780448919.9717999,197,N/A,unknown,-0.91,-0.59,1.26,0.0,0.0,0.0,0.21
1780448919.971814,199,N/A,unknown,-1.07,-0.75,1.05,0.0,0.0,0.0,0.24
1780448919.9718277,200,N/A,unknown,-1.03,-0.87,1.03,0.0,0.0,0.0,0.26
1780448919.971842,202,N/A,unknown,-1.01,-0.94,1.06,0.0,0.0,0.0,0.28
1780448919.9718564,203,N/A,unknown,-1.16,-1.07,1.07,0.0,0.0,0.0,0.29
1780448919.9718702,206,N/A,unknown,-1.11,-1.19,0.58,0.0,0.0,0.0,0.3
1780448919.9718852,208,N/A,unknown,-1.38,-1.06,0.51,0.0,0.0,0.0,0.31
1780448919.9718988,211,N/A,unknown,-1.5,-0.92,0.41,0.0,0.0,0.0,0.3
1780448919.9719112,213,N/A,unknown,-1.38,-1.03,0.47,0.0,0.0,0.0,0.3
1780448919.9719248,215,N/A,unknown,-1.22,-0.98,0.53,0.0,0.0,0.0,0.29
1780448919.9719393,217,N/A,unknown,-0.95,-0.87,0.64,0.0,0.0,0.0,0.28
1780448919.971954,221,N/A,unknown,-0.92,-0.74,1.07,0.0,0.0,0.0,0.26
1780448919.9719794,223,N/A,unknown,-1.0,-0.73,1.24,0.0,0.0,0.0,0.26
1780448919.9719937,225,N/A,unknown,-1.03,-0.74,1.27,0.0,0.0,0.0,0.26
1780448919.972008,227,N/A,unknown,-0.98,-0.72,1.24,0.0,0.0,0.0,0.26
1780448919.972022,229,N/A,unknown,-1.03,-0.7,1.24,0.0,0.0,0.0,0.25
1780448919.9720361,231,N/A,unknown,-1.01,-0.69,1.17,0.0,0.0,0.0,0.25
1780448919.97205,234,N/A,unknown,-1.07,-0.69,1.1,0.0,0.0,0.0,0.25
1780448919.9720643,237,N/A,unknown,-1.13,-0.68,1.07,0.0,0.0,0.0,0.25
1780448919.9720786,240,N/A,unknown,-1.16,-0.66,1.07,0.0,0.0,0.0,0.25
1780448919.9720929,243,N/A,unknown,-1.11,-0.73,0.99,0.0,0.0,0.0,0.25
1780448919.9721067,246,N/A,unknown,-1.06,-0.83,1.05,0.0,0.0,0.0,0.26
1780448919.9721217,249,N/A,unknown,-0.95,-0.84,1.06,0.0,0.0,0.0,0.26
1780448919.9721353,252,N/A,unknown,-0.79,-0.77,1.09,0.0,0.0,0.0,0.25
1780448926.9741893,255,N/A,unknown,-0.7,-0.7,1.07,0.0,0.0,0.0,0.25
1780448926.9742084,258,N/A,unknown,-0.89,-0.59,0.78,0.0,0.0,0.0,0.24
1780448926.9742208,260,N/A,unknown,-1.15,-0.47,0.65,0.0,0.0,0.0,0.24
1780448926.9742355,262,N/A,unknown,-0.57,-0.58,-0.11,0.0,0.0,0.0,0.24
1780448926.9742503,263,N/A,unknown,-0.42,-0.63,-0.25,0.0,0.0,0.0,0.23
1780448926.9742763,266,N/A,unknown,-0.22,-0.77,-0.46,0.0,0.0,0.0,0.24
1780448926.9742908,268,N/A,unknown,0.07,-0.93,-0.7,0.0,0.0,0.0,0.24
1780448926.9743054,269,N/A,unknown,0.14,-0.98,-0.76,0.0,0.0,0.0,0.24
1780448926.9743195,272,N/A,unknown,0.28,-1.2,-0.89,0.0,0.0,0.0,0.25
1780448926.974334,274,N/A,unknown,0.33,-1.27,-1.07,0.0,0.0,0.0,0.25
1780448926.9743483,279,N/A,unknown,0.2,-1.14,-1.37,0.0,0.0,0.0,0.24
1780448926.9743752,283,N/A,unknown,-0.45,-0.89,-0.81,0.0,0.0,0.0,0.24
1780448926.97439,285,N/A,unknown,-0.55,-0.79,-0.62,0.0,0.0,0.0,0.24
1780448926.9744043,288,N/A,unknown,-0.85,-0.68,-0.43,0.0,0.0,0.0,0.24
1780448926.9744184,290,N/A,unknown,-1.0,-0.64,-0.3,0.0,0.0,0.0,0.24
1780448926.9744327,291,N/A,unknown,-0.89,-0.65,-0.34,0.0,0.0,0.0,0.24
1780448926.974447,293,N/A,unknown,-0.91,-0.64,-0.26,0.0,0.0,0.0,0.24
1780448926.9744604,296,N/A,unknown,-1.1,-0.56,-0.01,0.0,0.0,0.0,0.23
1780448926.9744747,298,N/A,unknown,-1.32,-0.49,0.4,0.0,0.0,0.0,0.23
1780448926.9744885,301,N/A,unknown,-1.67,-0.24,1.13,0.0,0.0,0.0,0.21
1780448926.9745028,304,N/A,unknown,-1.7,-0.0,1.68,0.0,0.0,0.0,0.2
1780448926.9745216,309,N/A,unknown,-1.92,0.33,2.36,0.0,0.0,0.0,0.18
1780448926.974535,314,N/A,unknown,-1.64,0.29,2.78,0.0,0.0,0.0,0.17
1780448926.974549,315,N/A,unknown,-1.58,0.27,3.19,0.0,0.0,0.0,0.17
1780448926.9745631,318,N/A,unknown,-1.19,0.2,3.72,0.0,0.0,0.0,0.16
1780448926.974578,320,N/A,unknown,-0.89,0.18,3.86,0.0,0.0,0.0,0.17
1780448926.9745927,321,N/A,unknown,-1.08,0.2,3.89,0.0,0.0,0.0,0.17
1780448926.9746127,323,N/A,unknown,-1.31,0.18,3.77,0.0,0.0,0.0,0.17
1780448926.974624,325,N/A,unknown,-1.45,0.09,3.52,0.0,0.0,0.0,0.17
1780448926.974638,327,N/A,unknown,-1.55,0.08,3.18,0.0,0.0,0.0,0.18
1780448926.974653,329,N/A,unknown,-1.55,0.08,2.85,0.0,0.0,0.0,0.18
1780448926.9746666,331,N/A,unknown,-1.71,0.08,2.6,0.0,0.0,0.0,0.18
1780448926.974681,332,N/A,unknown,-1.52,-0.05,2.4,0.0,0.0,0.0,0.19
1780448926.974695,334,N/A,unknown,-1.57,-0.06,1.87,0.0,0.0,0.0,0.19
1780448926.9747095,335,N/A,unknown,-1.64,-0.1,1.71,0.0,0.0,0.0,0.2
1780448926.9747233,337,N/A,unknown,-1.29,-0.19,1.32,0.0,0.0,0.0,0.2
1780448926.9747422,338,N/A,unknown,-1.34,-0.15,1.28,0.0,0.0,0.0,0.2
1780448926.974756,342,N/A,unknown,-1.44,-0.17,1.33,0.0,0.0,0.0,0.2
1780448926.9747708,347,N/A,unknown,-1.36,-0.23,1.37,0.0,0.0,0.0,0.2
1780448926.9747846,348,N/A,unknown,-1.39,-0.16,1.39,0.0,0.0,0.0,0.2
1780448926.9748116,351,N/A,unknown,-1.29,-0.4,1.31,0.0,0.0,0.0,0.22
1780448926.9748254,353,N/A,unknown,-1.38,-0.71,1.32,0.0,0.0,0.0,0.25
1780448926.9748394,355,N/A,unknown,-1.1,-1.07,1.06,0.0,0.0,0.0,0.28
1780448926.9748533,357,N/A,unknown,-1.13,-1.02,1.07,0.0,0.0,0.0,0.29
1780448926.9748673,358,N/A,unknown,-1.0,-1.05,1.07,0.0,0.0,0.0,0.29
1780448926.9748812,361,N/A,unknown,-0.82,-0.97,1.11,0.0,0.0,0.0,0.27
1780448926.9748955,365,N/A,unknown,-1.23,-0.76,0.89,0.0,0.0,0.0,0.25
1780448926.9749112,366,N/A,unknown,-1.21,-0.78,0.82,0.0,0.0,0.0,0.25
1780448926.9749255,368,N/A,unknown,-1.18,-0.79,0.76,0.0,0.0,0.0,0.25
1780448926.9749396,371,N/A,unknown,-1.12,-0.79,0.79,0.0,0.0,0.0,0.24
1780448926.9749541,373,N/A,unknown,-1.12,-0.71,0.89,0.0,0.0,0.0,0.24
1780448926.974968,374,N/A,unknown,-1.08,-0.7,1.04,0.0,0.0,0.0,0.24
1780448926.974983,377,N/A,unknown,-0.91,-0.64,1.48,0.0,0.0,0.0,0.24
1780448934.2166774,380,N/A,unknown,-0.79,-0.57,2.08,0.0,0.0,0.0,0.23
1780448934.2166998,386,N/A,unknown,-0.65,-0.47,2.75,0.0,0.0,0.0,0.23
1780448934.2167144,390,N/A,unknown,-0.68,-0.43,2.82,0.0,0.0,0.0,0.23
1780448934.2167282,392,N/A,unknown,-0.66,-0.43,2.67,0.0,0.0,0.0,0.23
1780448934.2167418,395,N/A,unknown,-0.54,-0.48,2.67,0.0,0.0,0.0,0.23
1780448934.216756,397,N/A,unknown,-0.65,-0.45,2.89,0.0,0.0,0.0,0.23
1780448934.2167802,400,N/A,unknown,-0.51,-0.42,3.03,0.0,0.0,0.0,0.23
1780448934.216794,402,N/A,unknown,-0.41,-0.35,3.14,0.0,0.0,0.0,0.22
1780448934.2168086,406,N/A,unknown,-0.62,-0.09,3.3,0.0,0.0,0.0,0.19
1780448934.216832,410,N/A,unknown,-0.99,0.41,3.17,0.0,0.0,0.0,0.12
1780448934.2168477,412,N/A,unknown,-0.92,0.52,2.94,0.0,0.0,0.0,0.1
1780448934.2168617,414,N/A,unknown,-1.35,0.52,2.8,0.0,0.0,0.0,0.11
1780448934.216876,416,N/A,unknown,-1.35,0.44,2.69,0.0,0.0,0.0,0.12
1780448934.2168899,420,N/A,unknown,-1.52,0.81,2.95,0.0,0.0,0.0,0.11
1780448934.2169042,422,N/A,unknown,-0.7,1.21,3.13,0.0,0.0,0.0,0.11
1780448934.2169192,424,N/A,unknown,-0.93,1.65,3.29,0.0,0.0,0.0,0.14
1780448934.216933,427,N/A,unknown,-0.85,1.8,3.34,0.0,0.0,0.0,0.18
1780448934.2169466,429,N/A,unknown,-2.02,1.82,3.46,0.0,0.0,0.0,0.19
1780448934.2169604,430,N/A,unknown,-1.91,1.9,3.12,0.0,0.0,0.0,0.19
1780448934.2169747,432,N/A,unknown,-1.88,1.79,2.74,0.0,0.0,0.0,0.18
1780448934.216989,433,N/A,unknown,-1.99,1.57,2.62,0.0,0.0,0.0,0.16
1780448934.2170024,435,N/A,unknown,-2.2,1.51,2.28,0.0,0.0,0.0,0.15
1780448934.2170162,436,N/A,unknown,-2.15,1.43,2.15,0.0,0.0,0.0,0.14
1780448934.2170296,439,N/A,unknown,-2.18,1.34,1.93,0.0,0.0,0.0,0.13
1780448934.2170436,443,N/A,unknown,-2.23,1.13,1.86,0.0,0.0,0.0,0.13
1780448934.2170587,445,N/A,unknown,-2.27,1.23,1.85,0.0,0.0,0.0,0.13
1780448934.2170732,448,N/A,unknown,-2.24,1.34,1.83,0.0,0.0,0.0,0.14
1780448934.2170875,449,N/A,unknown,-2.2,1.31,1.82,0.0,0.0,0.0,0.14
1780448934.2171013,451,N/A,unknown,-2.16,1.36,1.83,0.0,0.0,0.0,0.13
1780448934.217117,453,N/A,unknown,-2.11,1.31,1.94,0.0,0.0,0.0,0.12
1780448934.2171314,456,N/A,unknown,-2.11,1.19,2.13,0.0,0.0,0.0,0.1
1780448934.2171447,458,N/A,unknown,-2.05,1.1,2.19,0.0,0.0,0.0,0.09
1780448934.2171586,460,N/A,unknown,-2.12,1.07,2.24,0.0,0.0,0.0,0.08
1780448934.2171724,461,N/A,unknown,-2.06,1.02,2.2,0.0,0.0,0.0,0.08
1780448934.2171865,464,N/A,unknown,-2.15,0.96,2.2,0.0,0.0,0.0,0.08
1780448934.2172003,469,N/A,unknown,-2.21,0.89,2.18,0.0,0.0,0.0,0.08
1780448934.2172244,472,N/A,unknown,-2.18,0.84,2.19,0.0,0.0,0.0,0.08
1780448934.2172382,476,N/A,unknown,-2.25,0.72,2.21,0.0,0.0,0.0,0.07
1780448934.217252,480,N/A,unknown,-2.19,0.64,2.17,0.0,0.0,0.0,0.07
1780448934.2172658,484,N/A,unknown,-2.15,0.59,2.16,0.0,0.0,0.0,0.07
1780448934.2172797,486,N/A,unknown,-2.17,0.58,2.16,0.0,0.0,0.0,0.07
1780448934.2172947,487,N/A,unknown,-2.18,0.58,2.16,0.0,0.0,0.0,0.07
1780448934.2173092,489,N/A,unknown,-2.26,0.6,2.2,0.0,0.0,0.0,0.07
1780448934.217325,490,N/A,unknown,-2.23,0.6,2.2,0.0,0.0,0.0,0.07
1780448934.2173386,492,N/A,unknown,-2.23,0.6,2.21,0.0,0.0,0.0,0.06
1780448934.2173538,493,N/A,unknown,-2.24,0.61,2.22,0.0,0.0,0.0,0.06
1780448934.2173676,496,N/A,unknown,-2.22,0.57,2.21,0.0,0.0,0.0,0.06
