timestamp,cycle,object,label,F_ext_x,F_ext_y,F_ext_z,F_fb_x,F_fb_y,F_fb_z,grip
1780448732.6456552,1,N/A,unknown,-0.95,1.18,1.38,0.0,0.0,0.0,0.07
1780448732.645723,4,N/A,unknown,-1.67,1.19,0.76,0.0,0.0,0.0,0.07
1780448732.6457524,6,N/A,unknown,-1.82,0.96,0.74,0.0,0.0,0.0,0.06
1780448732.6457822,9,N/A,unknown,-1.61,0.77,1.05,0.0,0.0,0.0,0.05
1780448732.6458127,11,N/A,unknown,-1.4,0.63,1.14,0.0,0.0,0.0,0.06
1780448732.6458395,14,N/A,unknown,-1.78,0.62,1.17,0.0,0.0,0.0,0.05
1780448732.6458642,16,N/A,unknown,-1.66,0.59,1.23,0.0,0.0,0.0,0.04
1780448732.6458952,19,N/A,unknown,-1.89,0.77,1.08,0.0,0.0,0.0,0.05
1780448732.645917,21,N/A,unknown,-1.85,1.01,0.88,0.0,0.0,0.0,0.06
1780448732.6459382,24,N/A,unknown,-2.09,1.33,0.58,0.0,0.0,0.0,0.09
1780448732.64596,27,N/A,unknown,-2.14,1.52,0.37,0.0,0.0,0.0,0.11
1780448732.6459806,29,N/A,unknown,-2.34,1.52,0.25,0.0,0.0,0.0,0.1
1780448732.6460032,32,N/A,unknown,-2.72,1.3,0.13,0.0,0.0,0.0,0.09
1780448732.6460226,34,N/A,unknown,-2.92,1.22,0.19,0.0,0.0,0.0,0.08
1780448732.6460428,37,N/A,unknown,-2.58,1.02,-0.3,0.0,0.0,0.0,0.09
1780448732.6460676,40,N/A,unknown,-1.96,0.99,-0.33,0.0,0.0,0.0,0.11
1780448732.6460896,43,N/A,unknown,-1.32,0.79,-0.59,0.0,0.0,0.0,0.14
1780448732.6461127,44,N/A,unknown,-1.26,0.8,-0.75,0.0,0.0,0.0,0.15
1780448732.6461332,46,N/A,unknown,-1.28,0.55,-0.94,0.0,0.0,0.0,0.19
1780448732.6461542,49,N/A,unknown,-0.85,0.58,-1.13,0.0,0.0,0.0,0.22
1780448732.6461778,53,N/A,unknown,-0.41,0.65,-1.19,0.0,0.0,0.0,0.23
1780448732.6462007,54,N/A,unknown,-0.15,0.6,-1.13,0.0,0.0,0.0,0.24
1780448732.6462233,56,N/A,unknown,0.08,0.49,-0.91,0.0,0.0,0.0,0.24
1780448732.6462445,57,N/A,unknown,0.15,0.49,-0.88,0.0,0.0,0.0,0.24
1780448732.6462653,60,N/A,unknown,0.05,0.73,-0.91,0.0,0.0,0.0,0.21
1780448732.6462886,62,N/A,unknown,0.12,1.05,-1.01,0.0,0.0,0.0,0.19
1780448732.6463096,65,N/A,unknown,-0.03,1.23,-0.75,0.0,0.0,0.0,0.17
1780448732.64633,67,N/A,unknown,0.33,1.35,-0.73,0.0,0.0,0.0,0.16
1780448732.6463525,70,N/A,unknown,0.59,1.23,-0.98,0.0,0.0,0.0,0.16
1780448732.6463776,72,N/A,unknown,0.93,1.04,-1.43,0.0,0.0,0.0,0.19
1780448732.6464062,75,N/A,unknown,0.87,0.71,-1.04,0.0,0.0,0.0,0.23
1780448732.646428,78,N/A,unknown,0.56,0.36,-0.46,0.0,0.0,0.0,0.24
1780448732.6464498,81,N/A,unknown,-0.37,0.27,0.82,0.0,0.0,0.0,0.21
1780448732.646471,83,N/A,unknown,-0.89,0.09,1.08,0.0,0.0,0.0,0.21
1780448732.646492,85,N/A,unknown,-1.32,-0.11,1.17,0.0,0.0,0.0,0.22
1780448732.646513,86,N/A,unknown,-1.29,-0.21,1.04,0.0,0.0,0.0,0.22
1780448732.6465366,89,N/A,unknown,-1.22,-0.1,0.68,0.0,0.0,0.0,0.21
1780448732.646558,91,N/A,unknown,-1.09,-0.09,0.33,0.0,0.0,0.0,0.23
1780448732.6465793,94,N/A,unknown,-1.38,0.16,-0.14,0.0,0.0,0.0,0.24
1780448732.6466177,96,N/A,unknown,-1.06,0.22,-0.48,0.0,0.0,0.0,0.24
1780448732.6466408,98,N/A,unknown,-1.58,0.44,-0.37,0.0,0.0,0.0,0.23
1780448732.6466625,99,N/A,unknown,-1.43,0.44,-0.33,0.0,0.0,0.0,0.21
1780448732.646684,102,N/A,unknown,-1.36,0.57,-0.35,0.0,0.0,0.0,0.2
1780448732.6467047,104,N/A,unknown,-1.31,0.62,-0.52,0.0,0.0,0.0,0.21
1780448732.646732,106,N/A,unknown,-1.52,0.65,-0.63,0.0,0.0,0.0,0.21
1780448732.6467588,108,N/A,unknown,-1.27,0.52,-0.82,0.0,0.0,0.0,0.22
