timestamp,cycle,object,label,F_ext_x,F_ext_y,F_ext_z,F_fb_x,F_fb_y,F_fb_z,grip
1780449162.9217095,1,N/A,unknown,-0.93,0.6,2.29,0.0,0.0,0.0,0.06
1780449162.9217327,3,N/A,unknown,-0.73,0.56,1.56,0.0,0.0,0.0,0.07
1780449162.9217443,5,N/A,unknown,-0.98,0.5,1.71,0.0,0.0,0.0,0.08
1780449162.9217553,7,N/A,unknown,-1.05,1.11,2.35,0.0,0.0,0.0,0.11
1780449162.9217658,9,N/A,unknown,-1.38,1.64,2.94,0.0,0.0,0.0,0.15
1780449162.9217765,12,N/A,unknown,-2.54,2.09,2.95,0.0,0.0,0.0,0.18
1780449162.9217865,14,N/A,unknown,-2.5,2.32,2.52,0.0,0.0,0.0,0.2
1780449162.9217966,15,N/A,unknown,-1.96,2.42,1.89,0.0,0.0,0.0,0.2
1780449162.9218056,18,N/A,unknown,-1.25,2.03,0.43,0.0,0.0,0.0,0.19
1780449162.921816,21,N/A,unknown,-0.71,1.79,-1.18,0.0,0.0,0.0,0.18
1780449162.921826,23,N/A,unknown,0.3,1.51,-1.28,0.0,0.0,0.0,0.18
1780449162.9218354,24,N/A,unknown,0.64,1.27,-1.04,0.0,0.0,0.0,0.18
1780449162.921845,26,N/A,unknown,0.87,0.94,-0.52,0.0,0.0,0.0,0.18
1780449162.9218552,27,N/A,unknown,1.27,0.48,-0.46,0.0,0.0,0.0,0.17
1780449162.9218647,29,N/A,unknown,1.4,0.07,-0.31,0.0,0.0,0.0,0.18
1780449162.9218748,32,N/A,unknown,1.39,-0.2,-0.14,0.0,0.0,0.0,0.17
1780449162.9218848,34,N/A,unknown,1.23,0.17,-0.23,0.0,0.0,0.0,0.16
1780449162.921894,35,N/A,unknown,1.4,0.41,-0.47,0.0,0.0,0.0,0.16
1780449162.9219036,37,N/A,unknown,1.36,0.7,-0.64,0.0,0.0,0.0,0.16
1780449162.9219134,39,N/A,unknown,1.19,0.87,-0.69,0.0,0.0,0.0,0.18
1780449162.921925,41,N/A,unknown,1.14,1.05,-0.85,0.0,0.0,0.0,0.19
1780449162.921935,44,N/A,unknown,1.28,1.16,-1.0,0.0,0.0,0.0,0.2
1780449162.9219446,47,N/A,unknown,1.69,1.2,-1.54,0.0,0.0,0.0,0.2
1780449162.9219542,50,N/A,unknown,1.64,1.14,-1.92,0.0,0.0,0.0,0.17
1780449162.9219637,52,N/A,unknown,1.67,1.1,-1.84,0.0,0.0,0.0,0.16
1780449162.9219737,54,N/A,unknown,1.79,1.04,-1.53,0.0,0.0,0.0,0.17
1780449162.9219835,55,N/A,unknown,1.67,1.02,-1.06,0.0,0.0,0.0,0.17
1780449162.9219944,58,N/A,unknown,1.15,0.99,0.13,0.0,0.0,0.0,0.16
1780449162.9220042,60,N/A,unknown,1.11,0.89,0.48,0.0,0.0,0.0,0.15
1780449162.922014,61,N/A,unknown,1.19,0.85,0.47,0.0,0.0,0.0,0.14
1780449162.9220235,64,N/A,unknown,1.45,0.8,0.44,0.0,0.0,0.0,0.14
1780449162.9220326,67,N/A,unknown,1.44,0.8,0.43,0.0,0.0,0.0,0.14
1780449162.9220428,72,N/A,unknown,1.39,0.81,0.49,0.0,0.0,0.0,0.14
1780449162.9220517,77,N/A,unknown,1.23,0.84,0.53,0.0,0.0,0.0,0.14
1780449162.9220617,79,N/A,unknown,1.21,0.83,0.52,0.0,0.0,0.0,0.14
1780449162.922071,80,N/A,unknown,1.19,0.84,0.52,0.0,0.0,0.0,0.14
1780449162.9220798,82,N/A,unknown,1.18,0.83,0.5,0.0,0.0,0.0,0.14
1780449162.9220889,85,N/A,unknown,1.15,0.82,0.47,0.0,0.0,0.0,0.13
1780449162.922106,87,N/A,unknown,1.12,0.81,0.46,0.0,0.0,0.0,0.13
1780449162.9221156,90,N/A,unknown,1.09,0.66,0.46,0.0,0.0,0.0,0.12
1780449162.9221246,92,N/A,unknown,1.0,0.56,0.48,0.0,0.0,0.0,0.11
1780449162.9221337,93,N/A,unknown,0.97,0.57,0.47,0.0,0.0,0.0,0.11
1780449162.9221435,96,N/A,unknown,0.87,0.56,0.44,0.0,0.0,0.0,0.1
1780449162.922153,100,N/A,unknown,0.84,0.59,0.42,0.0,0.0,0.0,0.1
1780449162.9221628,103,N/A,unknown,0.84,0.59,0.42,0.0,0.0,0.0,0.1
1780449170.934005,106,N/A,unknown,0.81,0.54,0.38,0.0,0.0,0.0,0.1
1780449170.9340186,109,N/A,unknown,0.71,0.58,0.29,0.0,0.0,0.0,0.09
