schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,timing_profile_version,prev_omega_io_s,prev_panda_state_s,prev_haptic_send_s,prev_impedance_update_s,prev_panda_command_s,prev_gripper_update_s,prev_record_s,prev_keyboard_status_s,prev_loop_work_s,prev_sleep_requested_s,prev_sleep_actual_s,diagnostic_disable_gripper_read,diagnostic_disable_vision,diagnostic_no_vision_display,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash
3,8.241633559999173,nan,PREP,system_start|prior_applied|vision_start,W1,trust_experiment,-0.011261362606757613,0.0018372153181340609,0.10675556783179364,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329165995337583,0.028989373134752586,0.4807271499938317,-1.317990307767539,0.1556842093129665,-0.19890574342164968,-0.324454689708264,-0.8994108657596414,0.004523852615663251,1.341975975628735,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,2.1859887056052685e-06,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.28850674899877,nan,PREP,,W1,trust_experiment,-0.011235031263913758,0.0018925589442845394,0.10673254227308006,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.33291602113898083,0.028989736473344595,0.4807267932352692,-1.3174998363746588,0.15609207192769703,-0.1986803886113877,-0.32470163169872485,-0.8991489242080781,0.00460324711795335,1.3415082745122022,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.046873188999597915,1,0.045899131990154274,3.2307012588717043e-05,0.00016934299492277205,3.6919955164194107e-06,1.0249001206830144e-05,2.643700281623751e-05,3.3917996915988624e-05,7.624499266967177e-05,0.04687098700378556,0.0,0.0,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.299612791000982,nan,PREP,,W1,trust_experiment,-0.011000236204607078,0.0019823973315463636,0.10731143588657657,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.33291615637206895,0.028989211290190005,0.4807277064352317,-1.3107801088062487,0.1602836686405534,-0.19965622546449535,-0.32745906816039927,-0.8944760056390528,0.005085579954942417,1.335551555141817,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.011106042002211325,1,4.523000097833574e-05,2.5594999897293746e-05,0.00021369200840126723,2.334010787308216e-06,8.428003638982773e-06,2.3582004359923303e-05,2.1348008885979652e-05,2.8439972084015608e-06,0.00042207801016047597,0.004577921989839524,0.010672388001694344,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.305923703010194,nan,PREP,,W1,trust_experiment,-0.010772367555703405,0.0019878990110593717,0.10784979503149283,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329167242875888,0.028988521118584073,0.48072626866923296,-1.3055044323944487,0.16322876824406268,-0.20043319035976406,-0.3293724662454098,-0.8907860184779008,0.005426394693788174,1.3308489461925495,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.006310912009212188,1,0.005309793996275403,5.161899025551975e-05,0.0006649979914072901,3.7259887903928757e-06,1.337799767497927e-05,3.299937816336751e-07,3.750500036403537e-05,1.8139980966225266e-06,0.006308961004833691,0.0,0.0,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.310987905002548,nan,PREP,,W1,trust_experiment,-0.010466322634271247,0.001980865541463978,0.10861372422183133,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329165665279055,0.02899087389164,0.48072768299624724,-1.3047536692014323,0.16423823947708902,-0.20079298262922204,-0.3299017067743854,-0.8902967212983368,0.005385737293786082,1.3302910051843067,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005064201992354356,1,2.5745001039467752e-05,1.825900108087808e-05,0.00030804700509179384,1.4550023479387164e-06,9.302006219513714e-06,2.989982021972537e-07,2.3553991923108697e-05,1.1719967005774379e-06,0.0004769809893332422,0.004523019010666758,0.004584114998579025,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.328376307006693,nan,PREP,,W1,trust_experiment,-0.009697028089963089,0.000282206955249445,0.11004811154040081,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.332917198388419,0.028988868507772114,0.4807289769563399,-1.297981544329844,0.16464420404353952,-0.20018020381743962,-0.3307057739051227,-0.8869566293873274,0.005124129604992189,1.323607161262891,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.017388402004144154,1,0.00041476701153442264,1.9116996554657817e-05,0.0003888099890900776,1.5460100257769227e-06,9.508992661722004e-06,3.119930624961853e-07,2.5608009309507906e-05,1.3250100892037153e-06,0.0009544750064378604,0.00404552499356214,0.016428117000032216,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.484636580004008,nan,PREP,,W1,trust_experiment,-0.007384018083577165,-0.00030958631744748186,0.10898438406251255,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329173682525055,0.028988381136512264,0.4807269602475173,-1.2923755230004843,0.16519278561696155,-0.20018471747714445,-0.33142490680579434,-0.8838990341735176,0.005057441652517439,1.3181794528750896,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.15626027299731504,1,0.15549532299337443,4.515299224294722e-05,0.0005054439970990643,3.6950077628716826e-06,1.0749005014076829e-05,2.6919005904346704e-05,3.1283998396247625e-05,3.52600181940943e-06,0.15625877000275068,0.0,0.0,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.489792704000138,nan,PREP,,W1,trust_experiment,-0.007383976436329459,-0.0003192290429916291,0.10897662045477355,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329175133180487,0.028989327332423324,0.4807283843923503,-1.2901099012608848,0.1656033167565487,-0.19927475511181042,-0.33182662417709186,-0.8831654502799768,0.005241474641262826,1.315871742943442,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005156123996130191,1,7.164600538089871e-05,1.6309000784531236e-05,0.00044079199142288417,1.6849953681230545e-06,7.305003236979246e-06,2.2122010705061257e-05,2.0724008209072053e-05,2.201995812356472e-06,0.0006505219935206696,0.0043494780064793305,0.004484236997086555,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.494864798005437,nan,PREP,,W1,trust_experiment,-0.0073839771420037,-0.00032889170252528165,0.10897402889344703,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.33291761034854717,0.028989379061918723,0.4807256244098334,-1.291879216371207,0.16481341079453554,-0.19662857119312366,-0.33129244464040675,-0.8855603833912656,0.005290052152473416,1.317109777155671,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005072094005299732,1,0.0003927549987565726,9.386400051880628e-05,0.00018094699771609157,1.3131997548043728e-05,1.0258998372592032e-05,2.2500171326100826e-07,6.321999535430223e-05,1.4469987945631146e-06,0.0011487820011097938,0.0038512179988902063,0.003918841000995599,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
3,8.499999809006113,nan,PREP,,W1,trust_experiment,-0.007377073849205634,-0.0003385479151616223,0.10896824046594003,1,-28.31647300068353,0,0.33289545857294794,0.02897978704753796,0.48077386156645296,0.3329169521768185,0.028989901896656907,0.48072607426224045,-1.2870853198887966,0.16320833878870766,-0.1975348470472022,-0.33023999426721445,-0.8823282895963294,0.00512063088375247,1.312343551941098,250.0,16.25,1.0,0.5,0.3,3.0,IDLE,0.08,0.07986051589250565,1,0.05,20.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005135011000675149,1,0.00029287999495863914,5.5383003200404346e-05,0.0002446729922667146,6.748989108018577e-06,9.91400156635791e-06,3.479945007711649e-07,6.304201087914407e-05,1.8410064512863755e-06,0.0008466909930575639,0.004153309006942436,0.004281942005036399,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,250.0,160.0,1.0,0.0,0.0,nan,250.0,0.0,0,fac94a0964378623
