time,x,y,z,gripper_deg,button,K_trans,K_rot,damping_ratio,K_fb,deadband,scale
0.0009,0.039193,0.003438,0.072885,-28.29,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0062,0.039174,0.003485,0.073038,-28.29,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0112,0.039235,0.003364,0.073196,-28.29,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0162,0.039268,0.002881,0.073341,-28.29,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0212,0.039191,0.002803,0.073506,-28.29,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0264,0.039045,0.002711,0.073662,-28.29,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0315,0.038952,0.002689,0.073751,-28.29,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0364,0.038933,0.002499,0.073848,-28.29,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0417,0.038992,0.002221,0.073913,-28.29,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0466,0.039023,0.001983,0.073987,-28.29,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0517,0.039023,0.001785,0.074046,-28.29,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0569,0.038991,0.001675,0.074119,-28.29,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0619,0.038984,0.001470,0.074181,-28.29,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0669,0.038995,0.001280,0.074264,-28.29,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0722,0.039006,0.001003,0.074344,-28.29,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0772,0.039006,0.000845,0.074414,-28.29,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0822,0.038952,0.000687,0.074522,-28.29,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0872,0.038892,0.000545,0.074636,-28.29,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0925,0.038793,0.000395,0.074802,-28.29,0,187.8,10.0,1.00,0.500,0.300,3.00
0.0974,0.038715,0.000277,0.074937,-28.29,0,187.8,10.0,1.00,0.500,0.300,3.00
0.1027,0.038614,0.000166,0.075091,-28.29,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1077,0.038515,0.000087,0.075224,-28.29,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1129,0.038408,0.000048,0.075356,-28.29,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1179,0.038318,0.000008,0.075464,-28.29,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1229,0.038233,0.000024,0.075559,-28.29,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1282,0.038133,0.000048,0.075655,-28.29,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1332,0.038021,0.000119,0.075758,-28.29,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1382,0.037897,0.000191,0.075869,-28.29,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1432,0.037784,0.000255,0.075970,-28.29,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1484,0.037659,0.000343,0.076080,-28.29,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1535,0.037545,0.000431,0.076173,-28.29,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1588,0.037410,0.000583,0.076271,-28.29,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1637,0.037286,0.000735,0.076351,-28.29,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1687,0.037178,0.000896,0.076409,-28.29,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1739,0.037048,0.001065,0.076495,-28.29,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1789,0.036921,0.001242,0.076567,-28.29,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1840,0.036799,0.001428,0.076630,-28.29,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1891,0.036682,0.001630,0.076682,-28.29,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1942,0.036564,0.001824,0.076735,-28.29,0,162.2,10.0,1.00,0.500,0.300,3.00
0.1992,0.036450,0.002035,0.076773,-28.29,0,162.2,10.0,1.00,0.500,0.300,3.00
0.2045,0.036342,0.002262,0.076804,-28.29,0,159.9,10.0,1.00,0.500,0.300,3.00
0.2094,0.036238,0.002489,0.076829,-28.29,0,159.9,10.0,1.00,0.500,0.300,3.00
0.2144,0.036153,0.002708,0.076837,-28.29,0,157.8,10.0,1.00,0.500,0.300,3.00
0.2197,0.036055,0.002919,0.076860,-28.29,0,157.8,10.0,1.00,0.500,0.300,3.00
0.2247,0.035965,0.003107,0.076884,-28.29,0,155.9,10.0,1.00,0.500,0.300,3.00
0.2297,0.035886,0.003302,0.076893,-28.29,0,155.9,10.0,1.00,0.500,0.300,3.00
0.2349,0.035825,0.003489,0.076886,-28.29,0,154.2,10.0,1.00,0.500,0.300,3.00
0.2399,0.035780,0.003676,0.076860,-28.29,0,154.2,10.0,1.00,0.500,0.300,3.00
0.2450,0.035755,0.003847,0.076820,-28.29,0,152.8,10.0,1.00,0.500,0.300,3.00
0.2501,0.035741,0.004017,0.076769,-28.29,0,152.8,10.0,1.00,0.500,0.300,3.00
0.2551,0.035740,0.004162,0.076712,-28.29,0,151.6,10.0,1.00,0.500,0.300,3.00
0.2602,0.035740,0.004291,0.076660,-28.29,0,151.6,10.0,1.00,0.500,0.300,3.00
0.2652,0.035751,0.004437,0.076591,-28.29,0,150.7,10.0,1.00,0.500,0.300,3.00
0.2705,0.035767,0.004582,0.076515,-28.29,0,150.7,10.0,1.00,0.500,0.300,3.00
0.2754,0.035789,0.004710,0.076433,-28.29,0,150.2,10.0,1.00,0.500,0.300,3.00
0.2804,0.035825,0.004830,0.076347,-28.29,0,150.2,10.0,1.00,0.500,0.300,3.00
0.2857,0.035871,0.004950,0.076243,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.2907,0.035923,0.005078,0.076135,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.2957,0.035970,0.005181,0.076036,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3009,0.036035,0.005292,0.075921,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3059,0.036111,0.005386,0.075793,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3109,0.036201,0.005472,0.075661,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3161,0.036301,0.005557,0.075511,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3212,0.036394,0.005666,0.075364,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3262,0.036487,0.005768,0.075215,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3312,0.036608,0.005876,0.075037,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3364,0.036746,0.005975,0.074837,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3414,0.036865,0.006091,0.074657,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3464,0.037003,0.006190,0.074457,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3517,0.037144,0.006313,0.074248,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3567,0.037267,0.006428,0.074055,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3620,0.037394,0.006559,0.073850,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3669,0.037524,0.006666,0.073653,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3719,0.037639,0.006781,0.073461,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3772,0.037752,0.006928,0.073263,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3821,0.037870,0.007074,0.073059,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3872,0.037975,0.007229,0.072864,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3922,0.038077,0.007400,0.072659,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3974,0.038187,0.007586,0.072431,-28.29,0,150.0,10.0,1.00,0.500,0.300,3.00
