time,x,y,z,gripper_deg,button,K_trans,K_rot,damping_ratio,K_fb,deadband,scale
0.0009,0.036971,0.021661,0.066136,-28.22,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0062,0.036940,0.021651,0.066291,-28.22,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0112,0.036990,0.021441,0.066419,-28.22,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0161,0.036982,0.021281,0.066570,-28.22,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0212,0.036882,0.021160,0.066775,-28.22,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0265,0.036781,0.020969,0.066965,-28.22,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0314,0.036734,0.020812,0.067136,-28.22,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0364,0.036782,0.020546,0.067261,-28.22,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0417,0.036837,0.020271,0.067382,-28.22,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0467,0.036888,0.020027,0.067474,-28.22,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0517,0.036908,0.019762,0.067607,-28.22,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0567,0.036981,0.019423,0.067714,-28.22,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0619,0.037069,0.019035,0.067860,-28.22,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0669,0.037164,0.018631,0.068005,-28.22,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0721,0.037259,0.018195,0.068138,-28.22,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0771,0.037331,0.017823,0.068273,-28.22,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0822,0.037421,0.017387,0.068423,-28.22,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0872,0.037512,0.016935,0.068578,-28.22,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0921,0.037589,0.016523,0.068731,-28.22,0,187.8,10.0,1.00,0.500,0.300,3.00
0.0974,0.037647,0.016112,0.068897,-28.22,0,187.8,10.0,1.00,0.500,0.300,3.00
0.1024,0.037716,0.015715,0.069033,-28.22,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1074,0.037801,0.015316,0.069155,-28.22,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1126,0.037913,0.014884,0.069261,-28.22,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1177,0.038021,0.014531,0.069328,-28.22,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1227,0.038129,0.014232,0.069364,-28.22,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1279,0.038254,0.013916,0.069379,-28.22,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1329,0.038383,0.013647,0.069372,-28.22,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1379,0.038513,0.013402,0.069349,-28.22,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1431,0.038638,0.013181,0.069319,-28.22,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1482,0.038773,0.013021,0.069236,-28.22,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1532,0.038900,0.012918,0.069140,-28.22,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1581,0.039028,0.012838,0.069029,-28.22,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1634,0.039162,0.012781,0.068892,-28.22,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1684,0.039299,0.012779,0.068729,-28.22,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1734,0.039438,0.012815,0.068534,-28.22,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1784,0.039558,0.012885,0.068354,-28.22,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1836,0.039693,0.012984,0.068136,-28.22,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1887,0.039808,0.013132,0.067910,-28.22,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1936,0.039908,0.013335,0.067677,-28.22,0,162.2,10.0,1.00,0.500,0.300,3.00
0.1989,0.040029,0.013568,0.067396,-28.22,0,162.2,10.0,1.00,0.500,0.300,3.00
0.2039,0.040144,0.013831,0.067109,-28.22,0,159.9,10.0,1.00,0.500,0.300,3.00
0.2092,0.040268,0.014101,0.066806,-28.22,0,159.9,10.0,1.00,0.500,0.300,3.00
0.2141,0.040394,0.014348,0.066504,-28.22,0,157.8,10.0,1.00,0.500,0.300,3.00
0.2192,0.040491,0.014635,0.066221,-28.22,0,157.8,10.0,1.00,0.500,0.300,3.00
0.2244,0.040590,0.014960,0.065905,-28.22,0,155.9,10.0,1.00,0.500,0.300,3.00
0.2294,0.040693,0.015284,0.065588,-28.22,0,155.9,10.0,1.00,0.500,0.300,3.00
0.2344,0.040791,0.015577,0.065294,-28.22,0,154.2,10.0,1.00,0.500,0.300,3.00
0.2394,0.040898,0.015868,0.064986,-28.22,0,154.2,10.0,1.00,0.500,0.300,3.00
0.2446,0.040998,0.016191,0.064668,-28.22,0,152.8,10.0,1.00,0.500,0.300,3.00
0.2497,0.041081,0.016476,0.064383,-28.22,0,152.8,10.0,1.00,0.500,0.300,3.00
0.2549,0.041190,0.016789,0.064052,-28.22,0,151.6,10.0,1.00,0.500,0.300,3.00
0.2599,0.041274,0.017088,0.063755,-28.22,0,151.6,10.0,1.00,0.500,0.300,3.00
0.2651,0.041364,0.017379,0.063458,-28.22,0,150.7,10.0,1.00,0.500,0.300,3.00
0.2701,0.041453,0.017646,0.063176,-28.22,0,150.7,10.0,1.00,0.500,0.300,3.00
0.2751,0.041529,0.017891,0.062915,-28.22,0,150.2,10.0,1.00,0.500,0.300,3.00
0.2801,0.041607,0.018150,0.062648,-28.22,0,150.2,10.0,1.00,0.500,0.300,3.00
0.2852,0.041706,0.018377,0.062366,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.2904,0.041791,0.018620,0.062097,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.2954,0.041875,0.018832,0.061840,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3004,0.041966,0.019043,0.061581,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3056,0.042052,0.019262,0.061314,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3106,0.042145,0.019457,0.061060,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3159,0.042255,0.019657,0.060770,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3209,0.042343,0.019837,0.060522,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3262,0.042440,0.020022,0.060264,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3311,0.042526,0.020187,0.060027,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3362,0.042593,0.020368,0.059811,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3412,0.042670,0.020525,0.059596,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3464,0.042763,0.020672,0.059358,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3514,0.042835,0.020830,0.059149,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3564,0.042901,0.020980,0.058944,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3614,0.042971,0.021137,0.058735,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3666,0.043029,0.021318,0.058519,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3717,0.043077,0.021515,0.058303,-28.22,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3769,0.043122,0.021726,0.058088,-28.21,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3819,0.043179,0.021922,0.057858,-28.20,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3869,0.043238,0.022124,0.057619,-28.17,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3922,0.043293,0.022341,0.057374,-28.14,0,150.0,10.0,1.00,0.500,0.300,3.00
0.3971,0.043335,0.022604,0.057112,-28.10,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4022,0.043384,0.022836,0.056837,-28.06,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4072,0.043424,0.023076,0.056560,-28.01,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4121,0.043444,0.023311,0.056288,-27.95,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4174,0.043468,0.023560,0.055966,-27.89,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4225,0.043486,0.023795,0.055644,-27.84,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4277,0.043489,0.024023,0.055314,-27.77,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4327,0.043483,0.024259,0.054988,-27.71,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4377,0.043473,0.024517,0.054621,-27.64,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4429,0.043445,0.024784,0.054270,-27.57,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4479,0.043423,0.025043,0.053914,-27.49,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4529,0.043383,0.025310,0.053576,-27.41,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4582,0.043362,0.025589,0.053177,-27.32,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4631,0.043340,0.025859,0.052774,-27.25,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4681,0.043306,0.026144,0.052370,-27.16,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4732,0.043286,0.026412,0.051939,-27.08,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4785,0.043253,0.026732,0.051478,-27.01,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4834,0.043217,0.027007,0.051055,-26.93,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4884,0.043155,0.027321,0.050623,-26.86,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4934,0.043106,0.027602,0.050175,-26.82,0,150.0,10.0,1.00,0.500,0.300,3.00
0.4987,0.043054,0.027882,0.049700,-26.78,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5036,0.042990,0.028156,0.049253,-26.77,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5089,0.042914,0.028444,0.048805,-26.77,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5139,0.042833,0.028738,0.048353,-26.78,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5189,0.042754,0.028988,0.047925,-26.79,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5242,0.042647,0.029282,0.047472,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5292,0.042543,0.029539,0.047045,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5342,0.042421,0.029812,0.046646,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5392,0.042304,0.030082,0.046224,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5444,0.042178,0.030351,0.045781,-26.81,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5494,0.042045,0.030619,0.045343,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5544,0.041917,0.030850,0.044919,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5597,0.041762,0.031108,0.044462,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5646,0.041609,0.031352,0.044029,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
0.5696,0.041469,0.031592,0.043574,-26.80,0,150.0,10.0,1.00,0.500,0.300,3.00
