episode_id,sequence,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,accepted_utc,duration_s,frames_processed,primary_threshold,collection_threshold,autonomous_lock_class,autonomous_lock_strategy,autonomous_lock_confidence,autonomous_lock_latency_s,autonomous_correct_class,autonomous_correct_strategy,target_assisted_lock_found,target_assisted_lock_latency_s,target_assisted_lock_confidence,no_detection_at_primary_threshold,unknown_dangerous_mapped_lock,video_file,detections_file
NOR_BANANA_R03,5,normal,banana,banana,soft,A,3,,2026-09-05T08:41:05.199210+00:00,10.048857,149,0.25,0.05,banana,soft,0.950075,0.250168,1,1,1,0.250168,0.950075,0,0,videos/NOR_BANANA_R03.mp4,detections/NOR_BANANA_R03.jsonl
NOR_BANANA_R01,6,normal,banana,banana,soft,A,1,,2026-09-05T08:41:39.690713+00:00,10.04929,148,0.25,0.05,banana,soft,0.928506,0.11922,1,1,1,0.11922,0.928506,0,0,videos/NOR_BANANA_R01.mp4,detections/NOR_BANANA_R01.jsonl
NOR_BANANA_R05,12,normal,banana,banana,soft,A,5,,2026-09-05T08:42:13.519928+00:00,10.053632,150,0.25,0.05,banana,soft,0.947463,0.108632,1,1,1,0.108632,0.947463,0,0,videos/NOR_BANANA_R05.mp4,detections/NOR_BANANA_R05.jsonl
NOR_BANANA_R04,14,normal,banana,banana,soft,A,4,,2026-09-05T08:42:45.809537+00:00,10.052201,150,0.25,0.05,banana,soft,0.933591,0.125312,1,1,1,0.125312,0.933591,0,0,videos/NOR_BANANA_R04.mp4,detections/NOR_BANANA_R04.jsonl
NOR_BANANA_R02,15,normal,banana,banana,soft,A,2,,2026-09-05T08:43:23.771027+00:00,10.052241,150,0.25,0.05,banana,soft,0.926296,0.116127,1,1,1,0.116127,0.926296,0,0,videos/NOR_BANANA_R02.mp4,detections/NOR_BANANA_R02.jsonl
NOR_BOTTLE_R01,1,normal,bottle,bottle,medium,A,1,,2026-09-05T08:44:00.993905+00:00,10.04677,150,0.25,0.05,bottle,medium,0.860561,0.115384,1,1,1,0.115384,0.860561,0,0,videos/NOR_BOTTLE_R01.mp4,detections/NOR_BOTTLE_R01.jsonl
NOR_BOTTLE_R03,8,normal,bottle,bottle,medium,A,3,,2026-09-05T08:44:25.612150+00:00,10.047366,150,0.25,0.05,bottle,medium,0.894143,0.105271,1,1,1,0.105271,0.894143,0,0,videos/NOR_BOTTLE_R03.mp4,detections/NOR_BOTTLE_R03.jsonl
NOR_BOTTLE_R05,9,normal,bottle,bottle,medium,A,5,,2026-09-05T08:44:59.234956+00:00,10.044505,150,0.25,0.05,bottle,medium,0.870041,0.104387,1,1,1,0.104387,0.870041,0,0,videos/NOR_BOTTLE_R05.mp4,detections/NOR_BOTTLE_R05.jsonl
NOR_BOTTLE_R04,11,normal,bottle,bottle,medium,A,4,,2026-09-05T08:45:31.600963+00:00,10.052644,150,0.25,0.05,bottle,medium,0.757087,0.114486,1,1,1,0.114486,0.757087,0,0,videos/NOR_BOTTLE_R04.mp4,detections/NOR_BOTTLE_R04.jsonl
NOR_BOTTLE_R02,13,normal,bottle,bottle,medium,A,2,,2026-09-05T08:46:10.828827+00:00,10.051033,150,0.25,0.05,bottle,medium,0.674273,0.119781,1,1,1,0.119781,0.674273,0,0,videos/NOR_BOTTLE_R02.mp4,detections/NOR_BOTTLE_R02.jsonl
NOR_SCISSORS_R01,3,normal,scissors,scissors,hard,A,1,,2026-09-05T08:47:23.484033+00:00,10.051254,150,0.25,0.05,scissors,hard,0.937778,0.126643,1,1,1,0.126643,0.937778,0,0,videos/NOR_SCISSORS_R01.mp4,detections/NOR_SCISSORS_R01.jsonl
NOR_SCISSORS_R02,4,normal,scissors,scissors,hard,A,2,,2026-09-05T08:47:57.576005+00:00,10.05021,150,0.25,0.05,scissors,hard,0.948143,0.126004,1,1,1,0.126004,0.948143,0,0,videos/NOR_SCISSORS_R02.mp4,detections/NOR_SCISSORS_R02.jsonl
NOR_SCISSORS_R05,7,normal,scissors,scissors,hard,A,5,,2026-09-05T08:48:34.737101+00:00,10.050193,150,0.25,0.05,scissors,hard,0.959713,0.122862,1,1,1,0.122862,0.959713,0,0,videos/NOR_SCISSORS_R05.mp4,detections/NOR_SCISSORS_R05.jsonl
NOR_SCISSORS_R04,10,normal,scissors,scissors,hard,A,4,,2026-09-05T08:49:10.498971+00:00,10.05151,150,0.25,0.05,scissors,hard,0.619232,0.119732,1,1,1,0.119732,0.619232,0,0,videos/NOR_SCISSORS_R04.mp4,detections/NOR_SCISSORS_R04.jsonl
DIM_BANANA_R02,23,dim,banana,banana,soft,A,2,,2026-09-05T08:56:09.880070+00:00,10.055556,148,0.25,0.05,banana,soft,0.918712,0.271372,1,1,1,0.271372,0.918712,0,0,videos/DIM_BANANA_R02.mp4,detections/DIM_BANANA_R02.jsonl
DIM_BANANA_R03,24,dim,banana,banana,soft,A,3,,2026-09-05T08:56:33.427592+00:00,10.055246,150,0.25,0.05,banana,soft,0.839364,0.125675,1,1,1,0.125675,0.839364,0,0,videos/DIM_BANANA_R03.mp4,detections/DIM_BANANA_R03.jsonl
DIM_BANANA_R01,25,dim,banana,banana,soft,A,1,,2026-09-05T08:56:54.844879+00:00,10.056019,150,0.25,0.05,banana,soft,0.944762,0.12178,1,1,1,0.12178,0.944762,0,0,videos/DIM_BANANA_R01.mp4,detections/DIM_BANANA_R01.jsonl
DIM_BANANA_R04,28,dim,banana,banana,soft,A,4,,2026-09-05T08:57:24.196615+00:00,10.052272,150,0.25,0.05,banana,soft,0.918095,0.117302,1,1,1,0.117302,0.918095,0,0,videos/DIM_BANANA_R04.mp4,detections/DIM_BANANA_R04.jsonl
DIM_BANANA_R05,29,dim,banana,banana,soft,A,5,,2026-09-05T08:57:48.749352+00:00,10.051975,150,0.25,0.05,banana,soft,0.899602,0.10355,1,1,1,0.10355,0.899602,0,0,videos/DIM_BANANA_R05.mp4,detections/DIM_BANANA_R05.jsonl
DIM_BOTTLE_R01,16,dim,bottle,bottle,medium,A,1,,2026-09-05T08:58:58.211678+00:00,10.062013,150,0.25,0.05,bottle,medium,0.895939,0.116235,1,1,1,0.116235,0.895939,0,0,videos/DIM_BOTTLE_R01.mp4,detections/DIM_BOTTLE_R01.jsonl
