schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.304895245999887,nan,PREP,system_start|vision_start,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.016775616678297647,-0.005875810150563521,0.11140537312351173,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31957339579030264,0.033003470644283606,0.44991689116162337,-0.7469425637718321,-0.1365082739973299,0.8438467890060057,-0.19488276561763848,-0.7135722385238079,0.01010208448144373,1.135180648953951,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986380159854889,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,1.9469998733256944e-06,0.09704983500000708,0.09204983500000707,1,nan,nan,nan
3,8.402170368000043,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.015611516693533375,-0.0006414306887240462,0.11256109758552477,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.3195186427074593,0.033009709304301256,0.4497388795063809,-0.7745786905482968,-0.11416595646761181,0.6630178478925561,-0.20842786821760187,-0.6840969732873946,0.011832254276606356,1.0259623190408873,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986380159854889,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.09727512200015553,0.011659006999934718,0.006659006999934718,1,nan,nan,nan
3,8.413912858999993,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.015635031409661285,-0.0003458039219654033,0.11264735371155542,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31951534412847515,0.033009120281713066,0.449727495999385,-0.8178580126411297,-0.09653203000522036,0.5613076654692056,-0.21852345217916297,-0.6877827016296499,0.014084069092571504,0.9966325586557548,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.01174249099994995,0.08030987200004347,0.07530987200004347,1,nan,nan,nan
3,8.494322453999985,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.015800963030995013,-0.0011627713637316207,0.11251235324038605,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.3194982187334545,0.03300799861445812,0.44968378076470356,-0.8442169614415237,-0.08502956553238873,0.49466086938400067,-0.2253076973659452,-0.6885681836300097,0.014625932331659274,0.9821515568892213,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.0804095949999919,0.10295183099992755,0.09795183099992755,1,nan,nan,nan
3,8.597317479999901,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.01486038817582623,-0.0009841000510396433,0.11218642013912261,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.3194984188683514,0.033006768938620555,0.449682634098588,-0.8625074093446798,-0.07751568645878638,0.44774317507600225,-0.2297433830195148,-0.6889471932564931,0.014780862296186026,0.974885461810149,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.10299502599991683,0.04124169700003222,0.03624169700003222,1,nan,nan,nan
3,8.638903994999964,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.014759016962321625,-0.0006993374711450277,0.11222152698923211,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31949690704024897,0.033007421161301495,0.44967937268768954,-0.8706589190607644,-0.06923063274682574,0.4164323433620047,-0.23475407907270449,-0.6863675646291094,0.015735961017508418,0.9676030851793287,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.04158651500006272,0.000992546999896149,0.0,0,nan,nan,nan
3,8.643985681000004,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.01474533099108194,-0.0006894940466885746,0.11221869281076183,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31949661410320485,0.03300719609560191,0.44967866085530644,-0.8801738561787593,-0.06567062454946172,0.39564497601936904,-0.23667797755663544,-0.6873662927845989,0.015726018386875505,0.9672401951318352,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.005081686000039554,0.001478054000017437,0.0,0,nan,nan,nan
3,8.649053374999994,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.01473852383968334,-0.0006796603049916715,0.11221858088063037,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31949645815343075,0.033006737553941394,0.44967767546429593,-0.8868220987680827,-0.0619527263906504,0.39716108760387103,-0.23822085934034493,-0.6928075651512384,0.016080242878966238,0.9736675534685089,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.005067693999990297,0.0009132650000083231,0.0,0,nan,nan,nan
3,8.654120913000042,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.01473852383968334,-0.0006796603049916715,0.11221858088063037,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.31949622637118086,0.033007051713761774,0.4496778970078027,-0.8872242727657569,-0.059675201528540056,0.3968677733249496,-0.23903126328531613,-0.6934161063405221,0.01616847310797107,0.9737720828644153,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.005067538000048444,0.0008425139999417297,0.0,0,nan,nan,nan
3,8.659188700999948,nan,PREP,,I_G,I_G,ba12d161-2f6b-484d-8ecd-3bac81ece8b2,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,apple,P01_T05,5,2,1,0,1,-0.01474533099108194,-0.0006894940466885746,0.11221869281076183,1,-28.230348598769655,0,0.31957339579030264,0.033003470644283606,0.44991689116162337,0.3194961520872139,0.03300707835707761,0.44967532251184683,-0.8895972591233843,-0.059934643624232134,0.3882686755277244,-0.23872861816366855,-0.6927906930056313,0.015623679637245952,0.9724854802732299,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28230348598769656,0.0,0.0,0.28230348598769656,0.28230348598769656,3.0,0,1.0,0.0,0,200.0,0.005,0.005067787999905704,0.000752511999962735,0.0,0,nan,nan,nan
