schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.227956511999764,nan,PREP,system_start|vision_start,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.006825241601098125,0.002525123778874874,0.10635412416435426,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.3217552181241892,0.018939162979784353,0.4525432394693619,-0.6609333741637229,0.02564112307703347,0.8693313755684877,-0.31380235241727716,-0.6892943227990073,0.10018754261610707,1.0923495012238045,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,2.1309997464413755e-06,0.030315253000026132,0.02531525300002613,1,nan,nan,nan
3,8.258574653999858,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.005922414234485446,0.0008769320755805922,0.10827797545414988,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.3217392156858196,0.018946706058518455,0.452454955727338,-0.7190504707242296,0.025286913967906194,0.7741540289836834,-0.3049694144789262,-0.6898791143970928,0.10176511578903064,1.0568762785011432,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.03061814200009394,0.01121773300019413,0.00621773300019413,1,nan,nan,nan
3,8.269861551999838,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.005951726140327601,0.0011346008520099413,0.10810699135532886,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.3217283426280712,0.01894499080252436,0.45242890500205685,-0.7335134123484413,0.02952557668698324,0.7554096123734504,-0.3018375231163986,-0.686076280584218,0.10402026939176612,1.0533552906023493,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.011286897999980283,0.005955213000106596,0.000955213000106596,1,nan,nan,nan
3,8.275860749999993,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.005867888855770803,0.0009903905271282545,0.10808587400628587,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.32172892519566587,0.01894531709789258,0.45242726751835105,-0.7401229811966997,0.033056298348851126,0.7423665214890922,-0.30006435113643115,-0.6811331389525551,0.1057263370601059,1.048800647589347,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.005999198000154138,0.0004501660000642005,0.0,0,nan,nan,nan
3,8.297139748000063,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.005035728894484559,-0.0001638009482787232,0.10802855357109459,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.3217164207383329,0.01894612859369165,0.45239667952484786,-0.7345124216701667,0.03652877585810044,0.7096614536152224,-0.299155719522211,-0.6722388558591084,0.10677663452407332,1.0219893481835975,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.021278998000070715,0.11467070799972134,0.10967070799972134,1,nan,nan,nan
3,8.411854566999864,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.0033503003310694224,-0.00013430018613210193,0.10720993752154105,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.32171694771631726,0.01894701633282976,0.4523955187659214,-0.7300259069000861,0.03770864492667457,0.6872235270308334,-0.2977220555465507,-0.6658277695098105,0.10709500396931379,1.003312485097339,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.11471481899980063,0.012186307999854762,0.007186307999854762,1,nan,nan,nan
3,8.424098296000011,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.00332272164355904,-0.0001726584537030501,0.10719607130362269,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.3217162096952788,0.018948364190398387,0.4523947776759986,-0.7270289835107208,0.03948467822393859,0.6701555856871795,-0.297606890100818,-0.6610559189339207,0.10711676036134629,0.9895649001994798,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.012243729000147141,0.0010569649998615205,0.0,0,nan,nan,nan
3,8.429183887999898,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.0033089497798179934,-0.00018223806932943617,0.10718657260610831,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.32171576804456453,0.01894727552241631,0.4523925176317271,-0.7265294454963299,0.03566224605296534,0.6600209370011179,-0.294350428549194,-0.6591079764599038,0.10536566873295915,0.982214064370176,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.005085591999886674,0.0010830750002241984,0.0,0,nan,nan,nan
3,8.434249112000089,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.00330897503978117,-0.00020142101142827995,0.10718656724101787,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.32171640536084406,0.018947588950569593,0.4523936852323146,-0.7264989097171031,0.035590517921624557,0.6546360990096771,-0.29376932945983053,-0.6582885836173386,0.10485032549003485,0.9785784449458699,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.005065224000190938,0.0007725299997218826,0.0,0,nan,nan,nan
3,8.439321223999741,nan,PREP,,I_H,I_H,a090b042-6240-40fc-b603-fc16b44a91a7,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T09,9,1,1,1,0,-0.0033020704509764687,-0.00020141716121002814,0.10718310079703491,1,-28.28571428571429,0,0.3217552181241892,0.018939162979784353,0.4525432394693619,0.32171637089875416,0.018945878831041162,0.45239309851944653,-0.7257624685814339,0.037813261619155186,0.6499459856592887,-0.2949423757948375,-0.6569456930796411,0.1050591529605642,0.9749824551397425,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07985854893922806,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.005072111999652407,0.0009319030000369821,0.0,0,nan,nan,nan
