schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.197609796000052,nan,PREP,system_start|vision_start,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0016422444890011323,0.0007725992365695074,0.10305223493807256,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33058333580827753,0.03548127237720845,0.48400474587890163,-0.8630174301331808,0.123946934389521,-0.09099671679392357,-0.31740251910372114,-0.6460742545978896,0.010924213240590203,0.8766084243979825,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,2.6200000320386607e-06,0.09689967999975124,0.09189967999975124,1,nan,nan,nan
3,8.29478372099993,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0025874683523691155,-0.0002827815969694082,0.10405318237606687,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.3305936033958201,0.03549144627604936,0.48399332288005625,-0.8741313644733324,0.11806594605664997,-0.09228508090404766,-0.3172552186512645,-0.6404454822794929,0.0101159355742159,0.8868831637435273,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.09717392499987909,0.011661984000056691,0.006661984000056691,1,nan,nan,nan
3,8.306515312000101,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.002600891263462163,-0.0002450413279786129,0.10403529285589189,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.330592773624571,0.035491421328549225,0.4839922377759382,-0.8792156104773904,0.11800752435385448,-0.09474109345824719,-0.3203800262919068,-0.6346190605394937,0.010165152737600913,0.892144461564897,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.011731591000170738,0.09903632399982598,0.09403632399982598,1,nan,nan,nan
3,8.405678629999784,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.003671422895308807,-0.00027240602005570687,0.10343471159452497,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33059209746908863,0.03549076811374896,0.4839908123052137,-0.8736910931640627,0.12411914795895077,-0.09661784849069628,-0.32670894244429116,-0.6267263951407414,0.01078494000952385,0.8877368404044308,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986314594745636,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.09916331799968248,0.1214769560001514,0.1164769560001514,1,nan,nan,nan
3,8.527202074999877,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0032119512698976227,-0.0002728077802005276,0.1036973146993081,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33059329041174323,0.035491488875430674,0.48399268654584293,-0.869662256307606,0.1287585347257178,-0.0981096719665408,-0.33138113697242355,-0.6210550161939734,0.011360088889230536,0.8845997445422038,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07986314594745636,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.12152344500009349,0.015211118000024726,0.010211118000024725,1,nan,nan,nan
3,8.542477771999984,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0031090408806518366,-0.0002728972976566874,0.10375582036754666,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33059272386048055,0.03549106306018288,0.4839929170568011,-0.8648449106775848,0.13012543595457426,-0.10007948837880959,-0.33352792124626846,-0.6154609245191688,0.0112611996722444,0.8802870285318602,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.015275697000106447,0.0009099200001401186,0.0,0,nan,nan,nan
3,8.547572069000125,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0030747339440392873,-0.0002729271019513685,0.10377529900526064,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.3305923905107787,0.03549136936450534,0.48399260189550775,-0.860622129949868,0.13157356715018037,-0.10025559526170384,-0.33531807407750364,-0.6113162437557279,0.01122789473617856,0.8763750558484359,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.005094297000141523,0.0013355579999370093,0.0,0,nan,nan,nan
3,8.552644451000106,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.003047287151401429,-0.0002729509328393392,0.10379087354545188,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33059218200802815,0.035491034644557724,0.4839919199102439,-0.8556975235041846,0.13287250931246772,-0.10269448562082462,-0.3368936391435532,-0.6063539390168045,0.011149521003926709,0.872020362628713,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.00507238199998028,0.000765685999795096,0.0,0,nan,nan,nan
3,8.557743945999846,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.0030129771116119697,-0.0002729807057651059,0.10381033125868158,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.33059249977936356,0.03549206725704026,0.48399164206343115,-0.8541357649357244,0.13423999587164714,-0.10193438661408638,-0.3383618083162529,-0.6049020099042678,0.011206847752585913,0.8706083508721616,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.005099494999740273,0.000886057000116125,0.0,0,nan,nan,nan
3,8.562852625999767,nan,PREP,,I_H_G,I_H_G,e884c310-e4d0-4d0b-944a-118f685b8a01,formal,P01_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P01,cup,P01_T13,13,2,1,1,1,0.002978665356488469,-0.00027301046126472885,0.1038297773479767,1,-28.224196855775805,0,0.33058333580827753,0.03548127237720845,0.48400474587890163,0.3305930164696649,0.035489727756621306,0.4839920239791143,-0.8502012402547026,0.1311801214490314,-0.10131137910521085,-0.33676791953465557,-0.6019311989328202,0.009993583193997919,0.8662068856400397,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798618271946907,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28224196855775807,0.0,0.0,0.28224196855775807,0.28224196855775807,3.0,0,1.0,0.0,0,200.0,0.005,0.005108679999921151,0.0008381790003113565,0.0,0,nan,nan,nan
