schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.113938573000269,nan,PREP,system_start|vision_start,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.019185803254714834,-0.014125181668322145,0.10911950989611703,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.3201467359082278,0.02903195259024,0.4471947190450775,-0.22002725664278003,0.2960903830857635,1.1339756105513792,-0.3624480065142429,-0.4700090649315282,0.05788088074302263,1.192468948839757,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0535902442205517,0.28291866028708135,0.0,0.0,0.33650890450763304,0.33650890450763304,3.0,0,1.0,0.0,0,200.0,0.005,2.742000106081832e-06,0.09733948299981421,0.0923394829998142,1,nan,nan,nan
3,8.211763263000648,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.016717389213465897,-0.006155771634140293,0.11149127014656988,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.32003098483042547,0.02903020662955849,0.44684663201478086,-0.22701263528158294,0.2915876670921317,1.0202329672718289,-0.3645545002537055,-0.44903694047507237,0.0548302857248411,1.085096038001246,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984475791454315,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.008093186908731564,0.28291866028708135,0.0,0.0,0.2910118471958129,0.2910118471958129,3.0,0,1.0,0.0,0,200.0,0.005,0.09782469000037963,0.012947469999744499,0.007947469999744498,1,nan,nan,nan
3,8.224783668000782,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.016558615338092234,-0.004728222464113176,0.11182130929856798,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.3200193555976075,0.029031205287152237,0.4468159087208542,-0.21347892387561918,0.2892447154362295,0.899541033783088,-0.3671008907780878,-0.4126079472622123,0.05293247780409306,0.9687155556748454,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984475791454315,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.013020405000133906,0.19880378099969676,0.19380378099969675,1,nan,nan,nan
3,8.423787790999995,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.015525844376331352,-0.0019934235947900664,0.1122073781136821,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.31984342460467724,0.029013526712699293,0.4463476388395219,-0.27910920024503205,0.2924228708114199,0.756258632425657,-0.3703930323650989,-0.4297530812322462,0.052746615590176724,0.8575197957792804,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.199004122999213,0.03584228300042014,0.030842283000420138,1,nan,nan,nan
3,8.459685590000845,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014969693900261372,-0.0017183957121394225,0.11206364964467999,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.3198416267041712,0.029014475270704554,0.4463437213878453,-0.32809187114916444,0.29108806155901945,0.6443278173912708,-0.37089157483045204,-0.44031412895231486,0.051671219590083015,0.7794452333297999,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.03589779900084977,0.0011197019994142465,0.0,0,nan,nan,nan
3,8.464775125000415,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014935143532014236,-0.0016596189402604024,0.11206073878368415,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.3198410301991008,0.029013614785526512,0.44634038605814996,-0.36145997445044975,0.2908502036358334,0.5556123939159706,-0.371897708593916,-0.44403283335843585,0.051131670851699194,0.7238454851401377,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005089534999569878,0.0014069680000829976,0.0,0,nan,nan,nan
3,8.46984512400013,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014907704913325007,-0.0016107365353656886,0.1120631003412791,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.31983984808769994,0.029013614531879804,0.44633757637763977,-0.384124512349991,0.2941235428507294,0.4966033629831441,-0.37458208160106177,-0.4470613854379424,0.05177036302593351,0.6933074351060659,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005069998999715608,0.000842524000290723,0.0,0,nan,nan,nan
3,8.474909284000205,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014887161915188574,-0.0015520991583336315,0.1120707985673834,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.31983820098683513,0.029012431129632962,0.4463350891365763,-0.40034741071697455,0.29421786303467706,0.46289534679333766,-0.3748372080605423,-0.45152665195626873,0.05145151530331287,0.67905397596907,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.00506416000007448,0.0007636529999217601,0.0,0,nan,nan,nan
3,8.479976714000259,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014873510742170762,-0.001493460568798419,0.11208119568795763,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.31983754886147864,0.02901379335189569,0.4463322785195302,-0.41255342181515675,0.2970206132837235,0.442543617093872,-0.3766014352576541,-0.45597002169952683,0.05201346818806274,0.6739928958062996,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005067430000053719,0.0009822580004765769,0.0,0,nan,nan,nan
3,8.485042248000354,nan,PREP,,I,I,730a7003-1736-434d-ae8c-2ce47123e254,formal,P02_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P02,apple,P02_T35,35,1,1,0,0,-0.014859841255781936,-0.001454341129715396,0.11208630979620449,1,-28.29186602870814,0,0.3201467359082278,0.02903195259024,0.4471947190450775,0.3198364316319449,0.029012283201347452,0.4463282806589512,-0.42635739457449384,0.30132993832198796,0.4244820745923312,-0.379363522313889,-0.4613659338254583,0.05336739409720902,0.6728784372289642,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005065534000095795,0.0008770869999352726,0.0,0,nan,nan,nan
