schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.332485867000287,nan,PREP,system_start|vision_start,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.019502423506754574,-0.013461648774095374,0.10992399809868214,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.32735245577092476,0.02937351385702023,0.47044652040628887,-0.7987194996990029,0.48828822991773757,0.7062427879378296,-0.5021573619974614,-0.7680184736589549,0.139760268028003,1.1726709300523404,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,2.002001565415412e-06,0.09688558999914676,0.09188558999914676,1,nan,nan,nan
3,8.429775516999143,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017121548348063953,-0.005228849818375192,0.11189313328465178,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.32735237658563376,0.029385096405428617,0.4703872386794098,-0.6582599560399343,0.40551923630399034,0.641248301985042,-0.42703544267342897,-0.6521740565250042,0.11520899603870664,1.0044657313900596,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.09728964999885648,0.0009574939995218301,0.0,0,nan,nan,nan
3,8.441138438000053,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.016949763661572498,-0.003984787406411394,0.11219238038177803,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.3273524331057342,0.02938452924538937,0.4703870248164005,-0.5593467125256141,0.3583110746646738,0.6010137330268154,-0.38144319969374074,-0.5725655215824997,0.10092801995294161,0.8958086170200605,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.01136292100090941,0.03495132299940451,0.02995132299940451,1,nan,nan,nan
3,8.476212618999853,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.01687962076360823,-0.0010868859699239577,0.11296076435563598,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.32735236308971066,0.029389901961064436,0.4703864679605464,-0.448502442447582,0.3290236110622235,0.5583369875395761,-0.35390295070107025,-0.4872229221757273,0.08895007977464713,0.7881314415582217,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.035074180999799864,0.10472850899896002,0.09972850899896002,1,nan,nan,nan
3,8.580985217999114,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.018239002331633475,-0.0016408558678497882,0.11331963263020244,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.3273523688602659,0.02938792128764456,0.4703864577004699,-0.37130553717058495,0.30541428328749176,0.5282711322690995,-0.33242263642239367,-0.42767081485974484,0.0796830274581737,0.7142941099844135,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.10477259899926139,0.05768959099987114,0.052689590999871146,1,nan,nan,nan
3,8.638849441000275,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017779297312898498,-0.002040977966857189,0.11304213406617362,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.32735297255709844,0.029383929343198265,0.4703867330883738,-0.3442454849463008,0.30352393643671327,0.5010440162478207,-0.3244840582757213,-0.40248346877857116,0.0797905908322817,0.6794680567279805,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.05786422300116101,0.0033845269990706583,0.0,0,nan,nan,nan
3,8.643941602000268,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017724671541637135,-0.001991873574194017,0.11303517257346757,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.32735289403240847,0.02938337999451051,0.4703866200436399,-0.32768499499560255,0.30743300768666615,0.4837435635581795,-0.3225888591263325,-0.3871038506053702,0.08137649574023838,0.660227495220022,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.005092160999993212,0.0009299789999204222,0.0,0,nan,nan,nan
3,8.649026705999859,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017676892879333106,-0.0019427838418036977,0.11303071250300434,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.327352584609406,0.0293838369799305,0.4703873815904968,-0.3126720820801569,0.3133780064093576,0.46960488865761263,-0.3236927562909001,-0.37351152750029104,0.08338188669561121,0.6453668392972888,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.005085103999590501,0.0008823469997878419,0.0,0,nan,nan,nan
3,8.654095649999363,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017635991167098714,-0.0018839197009043562,0.11303141875982009,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.3273522980120978,0.029383637047965754,0.47038710246014437,-0.30462165975457967,0.3209879813354356,0.45892080420361103,-0.32710604689290007,-0.365515459405834,0.08579093151777561,0.6375232892093605,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.005068943999503972,0.000829246000648709,0.0,0,nan,nan,nan
3,8.659281848000319,nan,PREP,,I_G,I_G,a749d540-5bdf-4383-9beb-24fb48d21f89,formal,P03_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P03,cup,P03_T31,31,2,1,0,1,-0.017595104706538647,-0.0018250356435612987,0.11303209733262076,1,-28.279562542720438,0,0.32735245577092476,0.02937351385702023,0.47044652040628887,0.3273528091831497,0.029382970656140345,0.470388762794524,-0.2939824696186195,0.33347079498175625,0.44913504775003876,-0.3345674234227301,-0.35602128546581246,0.08952375165180108,0.6319420500854938,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2827956254272044,0.0,0.0,0.2827956254272044,0.2827956254272044,3.0,0,1.0,0.0,0,200.0,0.005,0.00518619800095621,0.0008776909999141935,0.0,0,nan,nan,nan
