schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.1841997119991,nan,PREP,system_start|vision_start,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.003980586958568122,-0.002412560254104348,0.10166348159578659,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.33037910210076527,0.03038376520721352,0.48193636980098215,-0.6612936649804557,0.05811123463790653,0.33994094596515045,-0.267150847125717,-0.5713441700553309,0.05766748684039734,0.7458190622919921,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,1.7940001271199435e-06,0.09750196300228708,0.09250196300228708,1,nan,nan,nan
3,8.282439475999126,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.00432983478928381,-0.00014061301741439793,0.10306498402625733,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.33037820858788236,0.030383331785157175,0.4819341845905355,-0.6440072222141817,0.07075915549130624,0.2858575394650986,-0.27461713186089787,-0.5524279230401531,0.059350429898907,0.7081431304608622,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.09823976400002721,0.00114790199950221,0.0,0,nan,nan,nan
3,8.296822051001072,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.004213110332621672,-0.00019692338419862961,0.10312748769324959,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303782798753908,0.03038435197685456,0.4819351280817421,-0.6280738410818029,0.08415063336002268,0.24890060366418718,-0.2827167095534219,-0.5372026792080962,0.06159693615959258,0.6808153857328281,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.014382575001945952,0.021319603998563252,0.01631960399856325,1,nan,nan,nan
3,8.318236719998822,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.0042395919755482125,-0.00032812742588700594,0.10309632743363484,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303774201040246,0.03038085795525167,0.4819335073140223,-0.6212715161879324,0.09554084167264762,0.22947587612511677,-0.2893035034610092,-0.5317902685573976,0.06366311224841593,0.6691528427626683,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.021414668997749686,0.0012614000006578863,0.0,0,nan,nan,nan
3,8.32329830800154,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.004266027658363369,-0.0003936495061937341,0.10306262850943533,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.33037738656806614,0.030381864159039308,0.48193273157429356,-0.6014249087904111,0.10198307766458917,0.21453857154938136,-0.29235046599390213,-0.5185807120275687,0.06442905671373517,0.6466368901678475,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005061588002718054,0.11870787699808716,0.11370787699808715,1,nan,nan,nan
3,8.442056258998491,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.004274196300960653,-0.0003187403889833395,0.10308407211744662,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303767614161045,0.030383407764286795,0.48193221327373076,-0.5878722537150214,0.10612030759781588,0.20448705210384402,-0.29419729116417426,-0.5096735232878694,0.06491944278321128,0.6314034057959726,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.11875795099695097,0.0636600340003497,0.0586600340003497,1,nan,nan,nan
3,8.506202684999153,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.003973114489633112,-0.0002627628831322607,0.10326366140708704,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.33037831710765025,0.03038191741243912,0.4819357442439405,-0.5767540949540481,0.1130313455512051,0.20038400619355037,-0.2985464491441051,-0.503332931988286,0.06552140745133683,0.6209469551109466,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.06414642600066145,0.0007399269998131786,0.0,0,nan,nan,nan
3,8.511323673999868,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.003932000146105841,-0.00026279793146972047,0.10328738628296036,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303764738233531,0.03038394216991383,0.48193294950948395,-0.5677474483094929,0.12036654536594335,0.1977729000271012,-0.30331093063695513,-0.49812405758612344,0.06669375366506974,0.6131389649095886,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005120989000715781,0.001078310000593774,0.0,0,nan,nan,nan
3,8.516487897999468,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.0038908830931793925,-0.00026283295555219716,0.10331109440064021,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303773309460834,0.030384366685260157,0.4819343049357958,-0.560010751771917,0.12213788002802764,0.19584421930835694,-0.3044711681294624,-0.4935472943879827,0.0663366735861699,0.6057100478565535,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005164223999599926,0.0009100360002776142,0.0,0,nan,nan,nan
3,8.521555159000854,nan,PREP,,I_G,I_G,cf116209-298b-4e91-a7bd-6eb99492a1c5,formal,P04_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P04,bottle,P04_T13,13,2,1,0,1,0.003849763341585738,-0.00026286795538066696,0.1033347857609178,1,-28.29186602870814,0,0.3303658646073199,0.030374348659330915,0.4819533106929927,0.3303781823078572,0.030383381756030736,0.4819360694784265,-0.5500822004664199,0.12382759688351297,0.19260603283622596,-0.3055751821900412,-0.48683408993200167,0.06617326542184276,0.5958362064400197,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005067261001386214,0.0008922919987526257,0.0,0,nan,nan,nan
