schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.156152805000602,nan,PREP,system_start|vision_start,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.005283489287821991,-0.0012885471004285033,0.10542171478193008,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206723167187404,0.03245167342729849,0.4513507744054513,-0.6195345720637988,-0.025135955440617974,1.0885197325703793,-0.24456747205676194,-0.7319831187442533,0.05702068998494232,1.2527290650548812,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.03540789302815173,0.28298017771701983,0.0,0.0,0.31838807074517156,0.31838807074517156,3.0,0,1.0,0.0,0,200.0,0.005,1.9039980543311685e-06,0.03588130500065745,0.030881305000657448,1,nan,nan,nan
3,8.192314987001737,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.004166865617728416,-0.0007115015206610142,0.10762021178377437,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206726304826047,0.032454398022090165,0.4513394980546731,-0.3690767333380102,-0.0005761776619454609,0.9876378462869959,-0.2620751899605255,-0.5361705570717643,0.055391239908676136,1.0543464717494768,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.03616218200113508,0.011314010000205599,0.006314010000205599,1,nan,nan,nan
3,8.203699297002458,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.004031725930854491,-0.0007176250959620293,0.10717826046470354,1,-28.29186602870814,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206720935069129,0.03245720130573785,0.4513415725822628,-0.1878003935858879,0.01630263364347635,0.9158105010020889,-0.27394500247648085,-0.39594776480626304,0.05457150413608847,0.9350099664925636,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.011384310000721598,0.005971231999865267,0.0009712319998652673,1,nan,nan,nan
3,8.209730504000618,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.0037125425649016663,-0.0006129677514954062,0.10717311503965725,1,-28.29186602870814,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.32067241188779655,0.03245485143076129,0.4513406409877785,-0.05874615728631456,0.02671705789142261,0.865849334617675,-0.2813571153365378,-0.2964777367509201,0.05353444050141144,0.8682511056348575,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.006031206998159178,0.000515209001605399,0.0,0,nan,nan,nan
3,8.23023752300287,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.0033641369843507574,-0.0001822770334087164,0.10721941718539282,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206718936990832,0.03245728723717916,0.45133941129818983,0.04769752873950673,0.03771544045336516,0.8570354083426116,-0.29137130103718295,-0.22469796657034696,0.0531401848812423,0.8591898508766467,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.0798368752002716,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.02050701900225249,0.10484151999844471,0.0998415199984447,1,nan,nan,nan
3,8.33512799700111,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.003702780791490279,-0.0003360865314815134,0.10738847561509048,1,-28.29186602870814,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.320672099012453,0.03245600799110741,0.4513380861727354,0.12309235334140733,0.04523772922843987,0.8510109476880534,-0.2982932513019406,-0.173898530651405,0.052776061164538306,0.8610562192341393,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.10489047399823903,0.055145393998827785,0.05014539399882779,1,nan,nan,nan
3,8.39077791100135,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.003543627376710684,-0.00023039405675576483,0.10732209931302619,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.32067283275126507,0.03245601406825068,0.45133936300770783,0.1786195047966965,0.05186850184097114,0.8547833396270704,-0.304423054711465,-0.13852091678738057,0.05228316756586358,0.8747855889765512,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.05564991400024155,0.0035616829991340637,0.0,0,nan,nan,nan
3,8.39587010499963,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.003515996095016516,-0.0002399828484192762,0.10731085347939137,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206728100544482,0.03245641052588147,0.4513390128446628,0.21402762482776572,0.05631891570468418,0.8593057646009425,-0.3088521082356197,-0.11664236625150134,0.051648565573053515,0.8873477568191496,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005092193998279981,0.0004157920011493843,0.0,0,nan,nan,nan
3,8.400960152001062,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.0034470117166257586,-0.0002687212603129387,0.1072737293620358,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.3206720393885952,0.03245541805638318,0.45133906896016857,0.23909249659951892,0.058697771433230496,0.8602125167143875,-0.3119791911444408,-0.10057381315437666,0.050610575604094966,0.8947492521447107,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0050900470014312305,0.0007704970012127887,0.0,0,nan,nan,nan
3,8.406059651999385,nan,PREP,,I_G,I_G,f9c2dbb7-e87d-4dd1-aea1-9e822fc6589f,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T25,25,1,1,0,1,-0.0033918038748215196,-0.0002878716113319794,0.10724604930396224,1,-28.298017771701986,0,0.3206723167187404,0.03245167342729849,0.4513507744054513,0.32067235520037907,0.03245480194343942,0.4513372622073929,0.2559277837316475,0.061267544274044905,0.86352282428408,-0.3149238714637121,-0.0907130423369269,0.04992267137279359,0.9027316381553928,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005099499998323154,0.0012250890031282324,0.0,0,nan,nan,nan
