schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.284331626000494,nan,PREP,system_start|vision_start,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.006966510132644599,-0.00684092022655766,0.09851072844849668,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.3304255357595039,0.03339043448357168,0.4821020337995211,-0.8853255907303819,0.16532327675610112,-0.07343464443738072,-0.3719719078305461,-0.6920945607753721,0.03475582541669009,0.9036181906331449,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,1.9809995137620717e-06,0.03569389300173498,0.030693893001734977,1,nan,nan,nan
3,8.32017176500085,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.007328212473628776,-0.005409099444776897,0.09964113059533171,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.3304366994902795,0.03340008442182672,0.4820798806670347,-0.8917409911909466,0.14864070942459096,-0.09018640703045055,-0.36656238012819314,-0.6802641118501529,0.028579357554216055,0.9085315866173942,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.03584013900035643,0.01133986200147774,0.006339862001477741,1,nan,nan,nan
3,8.331575991000136,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.007501381862147077,-0.004569113418790823,0.09989551983011985,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.33043802962619495,0.03339995803309163,0.48208384388307945,-0.8948075156251952,0.16051748790139508,-0.11493259142744425,-0.3778785895902566,-0.6687826342877693,0.031170053288297847,0.9163273730025401,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0114042259992857,0.00556875999973272,0.0005687599997327196,1,nan,nan,nan
3,8.337185481999768,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.00749578442450019,-0.004133573962767522,0.10003855286492357,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.33043721620355787,0.03339973519038788,0.48208420617920167,-0.8966943870785142,0.16891602925617916,-0.13334547165261235,-0.385846819117465,-0.6603373220444698,0.03296192225555135,0.9221575047507038,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0056094909996318165,0.0004121950005355757,0.0,0,nan,nan,nan
3,8.356985545000498,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.00763342342045098,-0.002571395289019899,0.10040711312563455,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.33043609320897077,0.03340162284342675,0.4820798666248599,-0.8621116214373179,0.1871056592004325,-0.11441423560462703,-0.4009137526897602,-0.6416154558131517,0.03251432983430522,0.889570454113164,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983753085136414,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.019800063000730006,0.10564991700084647,0.10064991700084647,1,nan,nan,nan
3,8.46268197000245,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.005805905062974126,-0.0007081134772740054,0.10206590737219534,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.3304366512343659,0.033399034193124934,0.4820794428936935,-0.8390550599326542,0.19966630260110826,-0.10045986657783575,-0.41136755960184557,-0.6294792979946103,0.03210647005008824,0.8683157321998858,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.10569642500195187,0.0337804739974672,0.028780473997467197,1,nan,nan,nan
3,8.496624883002369,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.005501060177881545,-0.0009321280838675249,0.10218374762516799,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.33043609748857405,0.03340102193005358,0.48208122528397207,-0.8167593701274923,0.20848915536458412,-0.08964229356573965,-0.41699092343285055,-0.6166473106168111,0.03375942069231363,0.8477023872748158,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.03394291299991892,0.00335249799900339,0.0,0,nan,nan,nan
3,8.501721303000522,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.005494800012074141,-0.0009042493183486701,0.10219546486771726,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.33043574761447475,0.033402120899018777,0.48208028547413945,-0.7979822869795735,0.2167379517207099,-0.08576843676802313,-0.4224799230725141,-0.6044295644711659,0.035207472977368655,0.8313286322477228,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0050964199981535785,0.0008557590008422267,0.0,0,nan,nan,nan
3,8.506785680001485,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.0054885334867806335,-0.0008763653139388021,0.1022071795660657,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.3304368217607495,0.033403675092249,0.48208123981957013,-0.7861249515319287,0.21937791024627135,-0.08232470491865591,-0.4245485017234776,-0.5970132427781707,0.03480655332388844,0.8203026660721285,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.00506437700096285,0.0008063109999056906,0.0,0,nan,nan,nan
3,8.511846288001834,nan,PREP,,I_H_G,I_H_G,8f3480ad-aa50-44d8-8531-1219c4cdbf2a,formal,P04_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P04,mouse,P04_T31,31,2,1,1,1,0.005502488984172688,-0.0008483783333289624,0.10220163291061593,1,-28.298017771701986,0,0.3304255357595039,0.03339043448357168,0.4821020337995211,0.3304366734560575,0.03340244405935676,0.48208264445108934,-0.7855222099759412,0.22282212516106142,-0.07773253016499973,-0.4274995103687596,-0.5978062631139608,0.034586903768096394,0.8202055767139304,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983556389808655,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005060608000349021,0.0007560349986306392,0.0,0,nan,nan,nan
