schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.1287221829989,nan,PREP,system_start|vision_start,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.0034500386102700453,-0.0029883080070038036,0.10022736682388902,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.32174805907574305,0.029752044364373002,0.45610548410679147,-0.7850929041478686,-0.020718808502796407,0.7607850094264291,-0.24558971868455212,-0.7434625318866404,0.04821710736881851,1.0934321962230131,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,1.0,0.0,0,200.0,0.005,1.8319988157600164e-06,0.035708424999029376,0.030708424999029375,1,nan,nan,nan
3,8.164698303997284,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.004199854589601565,-0.001301301430927752,0.10295869616785779,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217228410544778,0.029748016826049294,0.4560362945673696,-0.8395361703463419,-0.03175896153734433,0.6538233630634758,-0.24135298626743557,-0.7560436977487894,0.04445950571853123,1.0645724977874294,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,1.0,0.0,0,200.0,0.005,0.03597612099838443,0.01653459500084864,0.011534595000848639,1,nan,nan,nan
3,8.181285893999302,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.004230680695188754,-0.0014087567081917858,0.10258793627138747,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.32172289344668764,0.02974896384937866,0.4560351541761381,-0.8774871204723208,-0.053363249552783404,0.5782955458514711,-0.22934160737836515,-0.764881944166804,0.03746557468884223,1.0522628100190983,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,1.0,0.0,0,200.0,0.005,0.01658759000201826,0.0003029510007763747,0.0,0,nan,nan,nan
3,8.201597134997428,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.004250178766060264,-0.0005621862708639989,0.10303491407700104,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217128275569421,0.029748819968613838,0.4560062344771775,-0.9445740797527349,-0.040559145937417405,0.5174835465822528,-0.2390661955010444,-0.8032661312725385,0.04075411098598969,1.0778007503445362,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,1.0,0.0,0,200.0,0.005,0.020311240998125868,0.1060389580015908,0.1010389580015908,1,nan,nan,nan
3,8.307686046999152,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.0019114822788673658,-0.0005003007591324669,0.10436556717900536,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217126770755407,0.02974693999509995,0.45600613423525693,-0.9926459706479993,-0.03143667474771084,0.4750557682966866,-0.24600038014222986,-0.8309427505859428,0.043116511355564394,1.1009142884688423,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,1.0,0.0,0,200.0,0.005,0.10608891200172366,0.05505307199928211,0.05005307199928211,1,nan,nan,nan
3,8.362879016000079,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.001666395114813507,-0.00022683931132567954,0.10455119541378649,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217122039926463,0.029749135608830572,0.4560064578489924,-1.009874355068902,-0.022302034400207844,0.46289204339394263,-0.25221312400927065,-0.8433161340264598,0.04497781012172634,1.111131242293924,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.003949742027560821,0.0,0.0,0.28254955570745044,-0.003949742027560821,0.0,0.28254955570745044,0.28257716095353835,3.0,0,1.0,0.0,0,200.0,0.005,0.055192969000927405,0.0009810720002860762,0.0,0,nan,nan,nan
3,8.367990974998975,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.0016733385390482747,-0.00023629224753700005,0.10454994156028094,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.32171215009799736,0.029747447316125355,0.4560043961414167,-1.0192412985511135,-0.014702421492267862,0.4488682512814018,-0.25752612604744496,-0.8486863423406246,0.04640348706471629,1.1138005624340113,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.007696519420445358,0.0,0.0,0.28254955570745044,-0.007696519420445358,0.0,0.28254955570745044,0.28265436108729497,3.0,0,1.0,0.0,0,200.0,0.005,0.005111958998895716,0.0013295790013216902,0.0,0,nan,nan,nan
3,8.373071523998078,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.0016802128153408646,-0.0002362872380577775,0.10454614161931776,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.32171219490363107,0.029747075311276735,0.4560045729606219,-1.0311921711464838,-0.009698536037144243,0.4377721366778313,-0.2610106917779007,-0.8558545022531374,0.04733822562678002,1.1203105815293082,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.012476868458593526,0.0,0.0,0.28254955570745044,-0.012476868458593526,0.0,0.28254955570745044,0.28282489932290383,3.0,0,1.0,0.0,0,200.0,0.005,0.005080548999103485,0.0007314140020753257,0.0,0,nan,nan,nan
3,8.378137571999105,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.001700634076579055,-0.0002551603368688886,0.10452963647808966,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217124855470865,0.029747302581791552,0.4560053300240671,-1.0413441109377204,-0.0048270297842205575,0.4261360856628772,-0.2644281915720039,-0.8611259953847046,0.04841641325124388,1.125172351733408,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.016537644375088145,0.0,0.0,0.28254955570745044,-0.016537644375088145,0.0,0.28254955570745044,0.283033116634705,3.0,0,1.0,0.0,0,200.0,0.005,0.005066048001026502,0.0006656580007984303,0.0,0,nan,nan,nan
3,8.383200395997846,nan,PREP,,I_H,I_H,bd6acd89-0533-4a8a-ab72-bb58f9c3ee80,formal,P05_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P05,bottle,P05_T19,19,1,1,1,0,0.001755589016055742,-0.00027401457618568087,0.10449920322911568,1,-28.254955570745047,0,0.3217446202038454,0.029743123096987328,0.4561229320080476,0.3217121799848015,0.02974687019552495,0.4560056159455035,-1.045926180894972,-0.002269158748413249,0.41470675244389743,-0.2662968567991797,-0.8623134326011848,0.04884233390619521,1.1251437310341872,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.018370472357988832,0.0,0.0,0.28254955570745044,-0.018370472357988832,0.0,0.28254955570745044,0.28314612073121054,3.0,0,1.0,0.0,0,200.0,0.005,0.0050628239987418056,0.0008547559991711751,0.0,0,nan,nan,nan
