schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.339776717999484,nan,PREP,system_start|vision_start,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,-0.0007586733858344907,-0.0011876325883313247,0.1041961027416696,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308200776836984,0.025874466175456988,0.4822287128970093,-0.9943950577316096,0.17778882634168397,-0.10705324845774186,-0.32105271130447927,-0.7680534534424829,0.0781965256829728,1.0158202575349438,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,1.62801006808877e-06,0.036336204007966444,0.031336204007966446,1,nan,nan,nan
3,8.376411398989148,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,-0.0001362288791830757,-0.0005308602116710086,0.1053014493958971,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308309538699934,0.02588452228585613,0.48221278824747027,-0.8973503026661624,0.19577320749643368,-0.07405450032009366,-0.3396810926217312,-0.6903233484387832,0.07790215383446288,0.9214384317392854,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.03663468098966405,0.016536076000193134,0.011536076000193133,1,nan,nan,nan
3,8.392996406008024,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.0003612443253958042,-0.00023742236041760553,0.10533865517781373,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308309311953373,0.02588492628328114,0.4822128372294293,-0.8295526870372993,0.20860019786424172,-0.05162570554745852,-0.3528108477628328,-0.6358685743635918,0.07772545558173902,0.8569346046187406,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.01658500701887533,0.0004018099862150848,0.0,0,nan,nan,nan
3,8.398073396005202,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.00038613186418237633,-7.588262128617422e-05,0.10521921434495607,1,-28.31032125768968,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308305432358615,0.025883463755418765,0.48221473452464764,-0.7758029671284229,0.21764322760379706,-0.03808234257507109,-0.3615502971000229,-0.5932563536106,0.07738900013813768,0.8066530128519127,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.005076989997178316,0.016855908994330093,0.011855908994330092,1,nan,nan,nan
3,8.415009733987972,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.0003458092032268545,-5.694109066718271e-05,0.10527723949451473,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.33083034101874376,0.025885468132018096,0.48221536063919074,-0.7101233611487211,0.23791785899911244,-0.03951765005684524,-0.37429224360664853,-0.5466592761700435,0.07742843295546703,0.7499611592248586,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.016936337982770056,0.11545902301440947,0.11045902301440946,1,nan,nan,nan
3,8.530510109994793,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.00013215381970832496,-0.00015193134013014725,0.10538691611687181,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308302995238893,0.02588616621401652,0.4822132361074477,-0.6611230266721124,0.25152910189009003,-0.0425620592694518,-0.38283722999168723,-0.5114044265974851,0.07724349475045614,0.7086339494993069,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.11550037600682117,0.011065680999308825,0.0060656809993088244,1,nan,nan,nan
3,8.541647548991023,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.00011838130617239373,-0.0001519375777042347,0.10539430702837753,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308308537550319,0.0258856308553893,0.48221209618717975,-0.6249316291891245,0.26287079208273123,-0.04377176732586355,-0.390048524028354,-0.4859013483813177,0.07765754926250798,0.6793795420131559,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.01113743899622932,0.0007240340055432171,0.0,0,nan,nan,nan
3,8.546730830013985,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,0.00010460860082886492,-0.00015194381374797285,0.10540169608982344,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.33083038596029096,0.025884837560406687,0.48221324477787375,-0.6005159268653637,0.27009184497827576,-0.042105070999688826,-0.3946440611553826,-0.4694773630416871,0.07775679561042459,0.6598043802117599,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.005083281022962183,0.0011514059733599424,0.0,0,nan,nan,nan
3,8.55183591801324,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,9.772217635065084e-05,-0.00015194693119601187,0.10540538992679147,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.3308301371222202,0.025884676895835883,0.4822123857951828,-0.5809829384711009,0.27732335405978437,-0.04235482373285168,-0.3993458951976205,-0.4559314203908012,0.07855701682163771,0.6451692402733755,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.005105087999254465,0.0007895389862824231,0.0,0,nan,nan,nan
3,8.556923388008727,nan,PREP,,I_H_G,I_H_G,aadf357a-2fad-421c-9a9c-4c759d6a7e9e,formal,P06_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P06,bottle,P06_T36,36,1,1,1,1,7.711829192966202e-05,-0.00016145805502264398,0.1054190207578771,1,-28.304169514695833,0,0.3308200776836984,0.025874466175456988,0.4822287128970093,0.33082980780935717,0.025885423540551393,0.4822123145248701,-0.5727116058467949,0.27800522855338694,-0.037706721680470824,-0.3995968572493285,-0.4515644917845274,0.0777232243826079,0.637736064084919,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983950525522232,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.005087469995487481,0.000711621978553012,0.0,0,nan,nan,nan
