schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.359205143991858,nan,PREP,system_start|vision_start,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.017248785794756763,-0.0005058299910272387,0.11201730011966318,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.3285191412149029,0.025828380374990342,0.47877983799360896,-1.5182403289054636,0.07775762021362026,0.21731800084223946,-0.25805826349067096,-1.136733461899194,0.11768449781063317,1.5356845565760968,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.2072961315621854,0.0,0.0,0.28291866028708135,-0.2072961315621854,0.0,0.28291866028708135,0.3507344501175837,3.0,0,1.0,0.0,0,200.0,0.005,1.6120029613375664e-06,0.03559814201435074,0.03059814201435074,1,nan,nan,nan
3,8.395056633016793,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.01672894294964329,-0.00023733199780999334,0.11297776270408463,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.32851902699788693,0.025832431974751317,0.47875876411315144,-1.333722023178743,0.11679243365376535,0.14169640747126183,-0.2776973949596395,-0.9814972249802081,0.12052587104921444,1.3463033757519256,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.1334888092714972,0.0,0.0,0.28291866028708135,-0.1334888092714972,0.0,0.28291866028708135,0.3128293952609938,3.0,0,1.0,0.0,0,200.0,0.005,0.03585148902493529,0.011270149989286438,0.0062701499892864375,1,nan,nan,nan
3,8.406393884011777,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.016399792163673627,-0.00031684994139023314,0.1129798478567442,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.3285186308498746,0.025833479220569784,0.47875839188657543,-1.180895815164057,0.14286791728204107,0.10567185999500926,-0.29079510004904613,-0.8605891729037196,0.1216684545249037,1.1941912368022534,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.07235832606562276,0.0,0.0,0.28291866028708135,-0.07235832606562276,0.0,0.28291866028708135,0.2920251627679641,3.0,0,1.0,0.0,0,200.0,0.005,0.01133725099498406,0.005750319978687912,0.0007503199786879121,1,nan,nan,nan
3,8.412191412004177,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.016357047429082075,-0.0001484583307939619,0.11294082070612341,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.328519468633639,0.025832111443908994,0.47875904425725413,-1.0723881898712104,0.16222765974862052,0.08251084407458448,-0.3007059658202287,-0.7754692304609416,0.12278198029866991,1.0877234403802585,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.028955275948484183,0.0,0.0,0.28291866028708135,-0.028955275948484183,0.0,0.28291866028708135,0.2843965125381987,3.0,0,1.0,0.0,0,200.0,0.005,0.005797527992399409,0.00036875400110147893,0.0,0,nan,nan,nan
3,8.417257921013515,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.016314539532954475,-0.0002275273258375671,0.11289906402013367,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.3285184510402991,0.02583438347636023,0.47875754133547543,-0.9878142955626777,0.17874027010817767,0.10175509175572288,-0.30987636775469735,-0.7202736019981053,0.12460290723881211,1.0089991404230974,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005066509009338915,0.13257634299225174,0.12757634299225173,1,nan,nan,nan
3,8.549881707993336,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.01595138768927587,-0.000237306618839079,0.11277748882264022,1,-28.28571428571429,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.32851882574842806,0.025834538363307923,0.4787584048672557,-0.9285796901222403,0.1897111586509616,0.11569399162203307,-0.3158642378569485,-0.6817657400753994,0.12569747147562244,0.9547961375715996,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07984016090631485,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28285714285714286,0.0,0.0,0.28285714285714286,0.28285714285714286,3.0,0,1.0,0.0,0,200.0,0.005,0.13262378697982058,0.012965483998414129,0.007965483998414128,1,nan,nan,nan
3,8.562931027990999,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.01595138768927587,-0.000237306618839079,0.11277748882264022,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.32851950772680205,0.025835106163638513,0.47875982096589376,-0.8812286083683032,0.19944827563914985,0.1168910135204238,-0.32139749483119384,-0.6486542903528505,0.1268712575370439,0.9110471908216382,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.013049319997662678,0.0009678290225565434,0.0,0,nan,nan,nan
3,8.568039511999814,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.01595825982199965,-0.00023731000066404837,0.11278013700501044,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.328519201022037,0.025833977080337932,0.47875945127650577,-0.8478925411578759,0.20648579189357466,0.09562634576788175,-0.32600604895539875,-0.6189559489591214,0.12753858214041255,0.8778966577052196,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.0051084840088151395,0.001501632999861613,0.0,0,nan,nan,nan
3,8.57312625698978,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.015972003914160898,-0.0002373167627025344,0.1127854320747001,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.3285189283215725,0.025835228987618503,0.47875823961433805,-0.8256646231964927,0.2104731002835186,0.09246119523826109,-0.3283952608072843,-0.6023082802926831,0.12768722720603704,0.8570706321920324,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005086744989966974,0.0009291620226576924,0.0,0,nan,nan,nan
3,8.578231249994133,nan,PREP,,I,I,c87ffc29-231c-4f6a-a165-63729b9a150e,formal,P07_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P07,mouse,P07_T10,10,1,1,0,0,-0.015985747774996062,-0.00023732352259252034,0.11279072541778087,1,-28.29186602870814,0,0.3285191412149029,0.025828380374990342,0.47877983799360896,0.32851928003077246,0.025833316772702418,0.4787593131681715,-0.8121278981404264,0.21254269878638277,0.1055692173952684,-0.3293671440815762,-0.5962975018043344,0.1274452267858413,0.8460915916180914,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28291866028708135,0.0,0.0,0.28291866028708135,0.28291866028708135,3.0,0,1.0,0.0,0,200.0,0.005,0.005104993004351854,0.0008048690215218812,0.0,0,nan,nan,nan
