schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.106771307997406,nan,PREP,system_start|vision_start,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.006303123866672783,-0.0028305777978746404,0.09887501591830802,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.31924867069699187,0.032511060389965714,0.44747665467303865,-0.11419255648867155,-0.1034375464137471,0.8575850488541698,-0.17970202330901008,-0.36662795814722904,0.04153922411157397,0.8713158910428085,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,1.6090052668005228e-06,0.027658628998324275,0.022658628998324274,1,nan,nan,nan
3,8.134645793004893,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.00711631838956292,-0.002431678060851837,0.10089765023170226,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.31919749758137783,0.03251341537110493,0.44730639645450265,-0.11845510733885384,-0.0935217237836597,0.8331339924794072,-0.19185251734965153,-0.3535924691712656,0.03988657054105165,0.8466936722916992,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.027874485007487237,0.016704537003533915,0.011704537003533914,1,nan,nan,nan
3,8.151403493015096,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.007366686717488219,-0.001939614424216498,0.10072031540039143,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191959120650733,0.03251379028202825,0.4473049912334841,-0.1331204261718442,-0.08604154247253898,0.8203903193187885,-0.20064883254744098,-0.353579004312885,0.039041462587819924,0.8355623680654909,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.016757700010202825,0.0003897800052072853,0.0,0,nan,nan,nan
3,8.172440126014408,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.008064528581567698,-0.0004902405415713931,0.10074324881260972,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.31914242524296976,0.03250867040983862,0.4471587530188743,-0.06800104895929378,-0.06909227659340784,0.7838494768520581,-0.21583728702035782,-0.30447822745899933,0.03840432099351855,0.7898214277326675,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.021036632999312133,0.10609046998433769,0.10109046998433768,1,nan,nan,nan
3,8.278589523019036,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.0072582545512993035,-0.0006582884719923026,0.10118895157871077,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191413554344002,0.03251035655330328,0.44715736433700365,-0.02343335462314319,-0.05668649516363539,0.7581995902230856,-0.22677373711137816,-0.2707748072875796,0.03811379000854237,0.7606767378179023,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.10614939700462855,0.017717745999107137,0.012717745999107136,1,nan,nan,nan
3,8.29637985600857,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.0072920722447086805,-0.0006396416193853419,0.10116299794962484,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191413531021458,0.032510594549814475,0.4471554816461794,0.00146428610298905,-0.04796794148326159,0.7437437488610816,-0.2346618773515398,-0.25238163048704604,0.037574900875834025,0.7452904343367548,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.017790332989534363,0.0012640210043173283,0.0,0,nan,nan,nan
3,8.301478895009495,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.0073002652361554565,-0.0005562841531519822,0.10117659555349116,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191413597738507,0.032508146751783124,0.44715550791585523,0.019763843380457224,-0.04037297365009916,0.7325804615362728,-0.2413166446679313,-0.23860413208865217,0.037449813504800304,0.7339582543518516,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.005099039000924677,0.0015361779951490462,0.0,0,nan,nan,nan
3,8.306550436012913,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.007322318833566238,-0.0004729031262824109,0.10118687239343009,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191422138406613,0.03250787103119607,0.44715719016943745,0.030755766114723686,-0.03718533284222344,0.7263101593713982,-0.2445969170166623,-0.23060110410969276,0.03676252518336921,0.7279114738304352,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.005071541003417224,0.00096967100398615,0.0,0,nan,nan,nan
3,8.311642490007216,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.007351006663513682,-0.00038020895615941585,0.10119041274332964,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.31914043940616543,0.03250866513745613,0.4471572948704942,0.03924607347112163,-0.03299009197519227,0.7217500620112512,-0.2480399092340489,-0.22438206200989896,0.03703154352235233,0.7235687613936062,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.005092053994303569,0.0008618569991085678,0.0,0,nan,nan,nan
3,8.316707616992062,nan,PREP,,I,I,f7ea3a35-5a86-4909-962b-2a6a51274a04,formal,P07_S2,MECH-D-26-00641-ABLATION-v1-seed260641,P07,scissors,P07_T37,37,2,1,0,0,0.007386738137941884,-0.00028750499683500414,0.10119479156632674,1,-28.31032125768968,0,0.31924867069699187,0.032511060389965714,0.44747665467303865,0.3191410059590249,0.03250818894498693,0.4471545938611272,0.045100375900958424,-0.0293835174840083,0.7242490939851349,-0.25075300281047486,-0.2216646780389097,0.03762792911254586,0.72624664208823,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983425259590149,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2831032125768968,0.0,0.0,0.2831032125768968,0.2831032125768968,3.0,0,1.0,0.0,0,200.0,0.005,0.005065126984845847,0.0008413150208070874,0.0,0,nan,nan,nan
