schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_locked_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_target_frequency_hz,control_target_dt_s,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.271120272984263,nan,PREP,system_start|vision_start,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,-0.0073646104475914576,0.012185575446242023,0.10025782339724061,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.32638737792740646,0.03422464338648918,0.4727164205654173,-0.9633335602421367,-0.04186864066993365,0.3038484258134204,-0.2307589238863164,-0.7806156356412405,0.04525765386470494,1.0109838758504668,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,nan,0,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,1.7719867173582315e-06,0.03380276000825688,0.02880276000825688,1,nan,nan,nan
3,8.305126316001406,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,-0.005824689898431851,0.01208469874227932,0.10386640853494432,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263766030685668,0.034231727877399074,0.47263550609255817,-0.9037359359724675,-0.04219734896748197,0.2895943238715447,-0.23106375669889367,-0.7236277597282149,0.04150620244976419,0.9499390141722428,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.034006043017143384,0.010815896006533876,0.005815896006533876,1,nan,nan,nan
3,8.316010940005071,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,-0.004988074801757614,0.009905944186256295,0.10506026732133146,1,-28.304169514695833,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263749338805345,0.03423160346415853,0.4726333371610967,-0.840319700653801,-0.036843473359443,0.29349763271993806,-0.23524569146375612,-0.6727248444650296,0.03915318400901138,0.8908622234937844,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.010884624003665522,0.005798719997983426,0.0007987199979834258,1,nan,nan,nan
3,8.32185674799257,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,-0.004833975386511341,0.009847725195122014,0.10499267682431399,1,-28.304169514695833,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263743220136223,0.03423169185127915,0.4726327883638184,-0.7951011999029083,-0.03299649325180431,0.2912838271709103,-0.2384009967547746,-0.6351559824795496,0.03748368365741878,0.8474201759607176,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2830416951469583,0.0,0.0,0.2830416951469583,0.2830416951469583,3.0,0,1.0,0.0,0,200.0,0.005,0.0058458079874981195,0.0003521920007187873,0.0,0,nan,nan,nan
3,8.341945213003783,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,-0.003525041304542148,0.008085174975629208,0.1049180816824267,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.32634746796546754,0.034229050058603105,0.4725468721356108,-0.7804811692167499,-0.023413051880739527,0.2846297896591508,-0.24603402305541072,-0.6225137202169604,0.036502480583618074,0.8310915374744996,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.020088465011212975,0.10564282798441127,0.10064282798441126,1,nan,nan,nan
3,8.44763740999042,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,0.00047676831754792093,-0.001295742605965123,0.10492416747976757,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.326346782135804,0.03422718579961654,0.4725454774497643,-0.769724913796387,-0.01590891130701147,0.27826967766411387,-0.2519339914844191,-0.6128154392241425,0.036084239161346704,0.8186351750841883,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.10569219698663801,0.015587233006954193,0.010587233006954192,1,nan,nan,nan
3,8.463316968991421,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,0.0008500666305482629,-0.0006813853437985802,0.10488360165948785,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263442956343665,0.03422908287577478,0.47253528777573006,-0.7990605279848895,-0.011113211008157386,0.2800723215485108,-0.25559960144247373,-0.6321702882111043,0.0363578502960034,0.8467949788112673,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.015679559001000598,0.0013525100075639784,0.0,0,nan,nan,nan
3,8.468405005987734,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,0.0008935272352549317,-0.0005017742727072762,0.10490984225564166,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.32634411787688805,0.03422851694749406,0.4725334524059034,-0.7935602903593381,-0.007532903262470633,0.2792434103172562,-0.2582745283104976,-0.6273755144770513,0.03596788536515759,0.84129160299647,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.0050880369963124394,0.001322957017691806,0.0,0,nan,nan,nan
3,8.473477777995868,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,0.0009359569422475178,-0.0003408694335135956,0.10491042904767432,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263431076554842,0.03422918256627715,0.47253242271372403,-0.7664714254004943,-0.00491296789872767,0.27478981516524037,-0.2602917962721173,-0.6070399273984951,0.03511164779377224,0.8142555039590377,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005072772008134052,0.0007352330139838159,0.0,0,nan,nan,nan
3,8.478567254991503,nan,PREP,,I_H,I_H,01c65178-b6ab-4119-8f94-764ce1f5f38e,formal,P08_S1,MECH-D-26-00641-ABLATION-v1-seed260641,P08,mouse,P08_T05,5,2,1,1,0,0.0010059701994353798,-0.0001704550578042233,0.10490359356133012,1,-28.298017771701986,0,0.32638737792740646,0.03422464338648918,0.4727164205654173,0.3263420290450721,0.03422833946207383,0.47252962028287704,-0.732405632048725,0.000406232135154986,0.2663587905948136,-0.264160762005596,-0.581005257820195,0.03522186822961922,0.7793363716703922,150.0,10.0,1.0,0.4,0.4,3.0,IDLE,0.08,0.07983884960412979,1,0.05,15.0,0,unknown,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28298017771701983,0.0,0.0,0.28298017771701983,0.28298017771701983,3.0,0,1.0,0.0,0,200.0,0.005,0.005089476995635778,0.000863963010488078,0.0,0,nan,nan,nan
