schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.109959156000514,nan,PREP,system_start|vision_start,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.014467541078881263,0.0023250036254526193,0.09318029822853674,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307876107388684,0.029921168455833966,0.48550817140773556,-1.152441675960008,0.007878607568234516,0.0014552110406440416,-0.20457409999407053,-0.8371566213964085,0.03512720442129241,1.152469525230884,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.17622083798000399,0.0,0.0,0.2827956254272044,-0.17622083798000399,0.0,0.2827956254272044,0.33320736711414184,3.0,0,0.8,0.0,0,2.6289999368600547e-06,0.036403590999725566,0.0,0,nan,nan,nan
3,8.146728477000579,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.015473967334559274,0.0009075274941407654,0.09569419996083614,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307900398570578,0.029931455274341327,0.4855095689795679,-1.1212152426988555,0.022317730910396596,-0.05109649043105925,-0.21276424238161706,-0.790189293875789,0.03649295180441515,1.1226007985511206,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.16060762134942774,0.0,0.0,0.2827956254272044,-0.16060762134942774,0.0,0.2827956254272044,0.32522019278680225,3.0,0,0.8,0.0,0,0.03676932100006525,0.017140648999884434,0.03176932100006525,1,nan,nan,nan
3,8.16392242100028,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.015521183967448782,0.0010143288000500996,0.09552622113537698,1,-28.27341079972659,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307903462008174,0.029930643054261272,0.4855061806910357,-1.1049675302556567,0.03185837088933216,-0.08716908133703816,-0.21804834379212687,-0.7614904623969087,0.03732169273461183,1.1088582630147783,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.15248376512782835,0.0,0.0,0.2827341079972659,-0.15248376512782835,0.0,0.2827341079972659,0.32123180797139056,3.0,0,0.8,0.0,0,0.017193943999700423,0.00037432199951581424,0.012193943999700422,1,nan,nan,nan
3,8.169007094000335,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.015761764037753007,0.0007359921188038575,0.09550227872582744,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307897476750277,0.029931069523100828,0.4855064659804306,-1.1351542196069588,0.04836821604286652,-0.12638073518843435,-0.22554277340251283,-0.7706564953130088,0.03860324517577321,1.1431914436529966,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986445724964142,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.1675771098034794,0.0,0.0,0.2827956254272044,-0.1675771098034794,0.0,0.2827956254272044,0.3287178934753189,3.0,0,0.8,0.0,0,0.005084673000055773,0.12096222499985743,8.467300005577261e-05,1,nan,nan,nan
3,8.29002608600058,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.01597648085920933,0.00016156426508275967,0.09550376326641336,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.33079033347809866,0.029930605634602304,0.48550592549100646,-1.1568665025064147,0.06068324905062282,-0.15297455315649117,-0.2312688319333449,-0.777713413959547,0.03969664999464604,1.1685134895456672,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.1784332512532073,0.0,0.0,0.2827956254272044,-0.1784332512532073,0.0,0.2827956254272044,0.3343827012773745,3.0,0,0.8,0.0,0,0.12101899200024491,0.05461644399929355,0.1160189920002449,1,nan,nan,nan
3,8.344776625000122,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.015729867579787837,0.00010781449078594462,0.09567043257978457,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.33078985820447776,0.02992927284751001,0.4855064890084184,-1.173859711079495,0.06623469826703765,-0.17536343439997942,-0.23324407789453366,-0.7830685769272128,0.039564872167438356,1.1887329349667723,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.1869298555397475,0.0,0.0,0.2827956254272044,-0.1869298555397475,0.0,0.2827956254272044,0.3389928268457528,3.0,0,0.8,0.0,0,0.054750538999542187,0.0008147329999701469,0.04975053899954219,1,nan,nan,nan
3,8.349902418000056,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.01573675237356223,9.882867396157033e-05,0.09566815637159828,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.33078986078543654,0.029930770103018152,0.4855081133998709,-1.2379427910361505,0.0689905168945749,-0.17455646000570313,-0.23344955777848592,-0.8273806169126097,0.04000796960723741,1.2520910522120496,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.2189713955180752,0.0,0.0,0.2827956254272044,-0.2189713955180752,0.0,0.2827956254272044,0.357661624745928,3.0,0,0.8,0.0,0,0.005125792999933765,0.0010803870000017923,0.0001257929999337647,1,nan,nan,nan
3,8.355010524000136,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.01573675237356223,9.882867396157033e-05,0.09566815637159828,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307896235008948,0.02993212022459878,0.48550804845806456,-1.2677650443870843,0.0752488800756073,-0.1775725715620817,-0.2364514374540247,-0.847089659125837,0.04133215647238448,1.2823504278837317,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.2338825221935421,0.0,0.0,0.2827956254272044,-0.2338825221935421,0.0,0.2827956254272044,0.366980108382425,3.0,0,0.8,0.0,0,0.005108106000079715,0.0007256429998960812,0.00010810600007971505,1,nan,nan,nan
3,8.360079822999978,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.01573675237356223,9.882867396157033e-05,0.09566815637159828,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.33078995665474675,0.029930620444445367,0.48550778852927373,-1.2958879247932957,0.07766936184575224,-0.17644110667433333,-0.23705949693207606,-0.8669880601993178,0.04143622735033248,1.3101486585571365,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.24794396239664784,0.0,0.0,0.2827956254272044,-0.24794396239664784,0.0,0.2827956254272044,0.3760978253722215,3.0,0,0.8,0.0,0,0.005069298999842431,0.000913038000362576,6.929899984243083e-05,1,nan,nan,nan
3,8.36518829600027,nan,PREP,,I_H,I_H,2030f492-f661-4c7d-b2e1-b58c491016c3,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,apple,PILOT01_T05,5,1,1,1,0,0.01573010834505445,9.88314274763814e-05,0.09567292135872975,1,-28.279562542720438,0,0.3307876107388684,0.029921168455833966,0.48550817140773556,0.3307906248694075,0.029930985056348496,0.4855064156272859,-1.3161631414659023,0.08005323873802848,-0.17473449902231392,-0.23780610530451612,-0.8817303861430259,0.041770015957415474,1.330122581243706,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07986249029636383,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,-0.2580815707329511,0.0,0.0,0.2827956254272044,-0.2580815707329511,0.0,0.2827956254272044,0.38285697448623157,3.0,0,0.8,0.0,0,0.005108473000291269,0.0007794389994160156,0.00010847300029126917,1,nan,nan,nan
